# recorded=2026-09-18T18:58:59+0800
# uname=Linux iZ0jl59glej0v8rv680qyqZ 6.8.0-137-generic #137-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 17 20:28:23 UTC 2026 x86_64 x86_64
# python=3.14.7 cpu_count=4
# workers=7 period_s=0.1 beats=1050
beat,wall_ms,cpu_ms,duty,units
703,100.000,51.728,0.51728,36.210
704,100.000,48.780,0.48780,34.146
705,100.000,82.214,0.82214,57.550
706,100.000,68.290,0.68290,47.803
707,101.000,49.146,0.48659,34.062
708,100.000,51.693,0.51693,36.185
709,100.000,49.035,0.49035,34.324
710,103.019,52.033,0.50508,35.356
711,100.000,49.391,0.49391,34.574
712,102.980,51.722,0.50225,35.158
713,102.000,51.164,0.50161,35.113
714,100.000,50.087,0.50087,35.061
715,100.000,48.914,0.48914,34.239
716,102.004,51.385,0.50376,35.263
717,100.000,49.989,0.49989,34.992
718,100.000,50.629,0.50629,35.440
719,101.257,50.502,0.49875,34.913
720,100.739,49.674,0.49309,34.516
721,103.000,51.598,0.50095,35.066
722,103.000,50.862,0.49380,34.566
723,100.000,50.297,0.50297,35.208
724,101.000,51.184,0.50677,35.474
725,102.999,50.639,0.49164,34.415
726,100.000,50.629,0.50629,35.441
727,100.000,50.974,0.50974,35.682
728,100.000,49.120,0.49120,34.384
729,100.000,51.129,0.51129,35.790
730,101.000,48.471,0.47991,33.594
731,100.000,50.190,0.50190,35.133
732,101.000,50.717,0.50215,35.150
733,101.000,50.991,0.50486,35.340
734,100.000,49.082,0.49082,34.357
735,100.000,51.055,0.51055,35.738
736,102.001,49.940,0.48960,34.272
737,102.000,51.694,0.50681,35.476
738,101.000,49.795,0.49302,34.512
739,100.000,49.975,0.49975,34.983
740,100.000,51.534,0.51534,36.074
741,103.000,50.347,0.48881,34.216
742,101.000,49.856,0.49362,34.553
743,100.000,49.947,0.49947,34.963
744,102.000,51.188,0.50184,35.129
745,103.008,51.396,0.49895,34.926
746,102.823,51.923,0.50497,35.348
747,100.000,50.036,0.50036,35.025
748,100.110,50.247,0.50191,35.134
749,100.054,49.348,0.49322,34.525
750,101.006,50.864,0.50357,35.250
751,101.999,50.242,0.49258,34.480
752,100.000,52.032,0.52032,36.422
753,100.000,47.914,0.47914,33.540
754,100.000,50.459,0.50459,35.321
755,102.334,51.556,0.50381,35.266
756,100.000,50.376,0.50376,35.263
757,102.666,50.200,0.48897,34.228
758,100.001,50.533,0.50533,35.373
759,102.999,50.813,0.49333,34.533
760,100.000,51.365,0.51365,35.956
761,100.000,48.661,0.48661,34.062
762,100.000,51.235,0.51235,35.864
763,100.000,49.636,0.49636,34.745
764,100.000,50.183,0.50183,35.128
765,101.000,49.430,0.48941,34.259
766,103.000,51.992,0.50478,35.334
767,101.000,50.794,0.50291,35.204
768,102.001,50.397,0.49408,34.586
769,100.000,49.713,0.49713,34.799
770,100.000,50.078,0.50078,35.055
771,100.000,50.069,0.50069,35.048
772,100.000,50.589,0.50589,35.412
773,100.999,49.854,0.49361,34.553
774,100.000,50.047,0.50047,35.033
775,102.999,50.916,0.49434,34.604
776,100.000,51.131,0.51131,35.791
777,100.000,50.022,0.50021,35.015
778,100.640,49.988,0.49671,34.769
779,100.000,49.703,0.49703,34.792
780,102.360,50.544,0.49379,34.565
781,103.000,52.257,0.50735,35.515
782,103.001,51.246,0.49753,34.827
783,100.000,50.340,0.50340,35.238
784,100.999,49.877,0.49383,34.568
785,103.000,51.294,0.49800,34.860
786,102.000,51.154,0.50151,35.106
787,100.000,50.568,0.50568,35.398
788,100.000,50.176,0.50176,35.123
789,103.001,51.432,0.49934,34.954
790,100.999,49.462,0.48973,34.281
791,100.000,50.988,0.50988,35.692
792,103.000,50.313,0.48847,34.193
793,100.000,51.077,0.51077,35.754
794,102.001,50.349,0.49361,34.553
795,100.999,50.611,0.50110,35.077
796,100.000,50.867,0.50867,35.607
797,101.001,49.452,0.48962,34.273
798,101.999,50.456,0.49467,34.627
799,100.000,50.545,0.50545,35.381
800,100.000,50.199,0.50199,35.139
801,100.734,49.944,0.49580,34.706
802,100.000,50.898,0.50898,35.629
803,100.221,48.700,0.48592,34.014
804,102.045,52.144,0.51099,35.769
805,101.000,49.395,0.48905,34.234
806,100.000,51.234,0.51234,35.864
807,100.000,48.791,0.48791,34.154
808,100.000,50.666,0.50665,35.466
809,100.000,50.317,0.50317,35.222
810,103.000,50.764,0.49286,34.500
811,100.000,51.698,0.51697,36.188
812,101.000,49.408,0.48919,34.243
813,103.009,51.653,0.50144,35.101
814,101.991,50.774,0.49783,34.848
815,100.000,50.620,0.50620,35.434
816,101.000,49.651,0.49159,34.411
817,103.000,51.165,0.49675,34.772
818,100.000,49.982,0.49982,34.987
819,100.000,50.491,0.50491,35.344
820,102.000,50.091,0.49109,34.376
821,101.001,50.808,0.50305,35.214
822,100.000,50.393,0.50393,35.275
823,103.000,50.625,0.49151,34.405
824,103.000,51.626,0.50122,35.086
825,100.000,51.264,0.51264,35.885
826,100.000,49.740,0.49740,34.818
827,100.000,49.992,0.49992,34.995
828,101.000,50.165,0.49668,34.768
829,100.000,50.547,0.50547,35.383
830,100.000,50.035,0.50035,35.024
831,100.000,48.808,0.48808,34.166
832,101.999,50.000,0.49020,34.314
833,100.000,51.083,0.51083,35.758
834,100.000,49.820,0.49820,34.874
835,100.000,50.417,0.50417,35.292
836,100.000,50.097,0.50097,35.068
837,100.000,49.595,0.49595,34.717
838,100.000,50.126,0.50126,35.088
839,100.000,49.859,0.49859,34.902
840,102.999,50.813,0.49334,34.534
841,100.000,50.696,0.50696,35.487
842,101.543,50.744,0.49973,34.981
843,100.000,49.595,0.49595,34.716
844,100.000,50.881,0.50881,35.617
845,100.687,48.971,0.48636,34.045
846,100.000,50.920,0.50920,35.644
847,102.770,50.600,0.49236,34.465
848,100.000,50.288,0.50288,35.201
849,103.000,50.771,0.49293,34.505
850,100.000,51.039,0.51039,35.727
851,102.000,50.361,0.49374,34.562
852,101.000,50.292,0.49794,34.856
853,102.000,50.643,0.49650,34.755
854,100.875,50.224,0.49789,34.852
855,100.000,50.421,0.50421,35.295
856,100.000,50.794,0.50794,35.556
857,100.000,50.295,0.50295,35.206
858,103.124,49.808,0.48299,33.809
859,100.000,50.460,0.50460,35.322
860,101.999,50.559,0.49568,34.698
861,103.000,50.962,0.49478,34.634
862,100.000,50.465,0.50465,35.325
863,102.000,51.270,0.50265,35.186
864,100.000,50.518,0.50518,35.363
865,100.000,49.954,0.49954,34.968
866,100.000,50.675,0.50675,35.472
867,102.000,50.310,0.49323,34.526
868,100.000,50.251,0.50251,35.176
869,100.000,49.973,0.49973,34.981
870,100.415,49.278,0.49074,34.352
871,100.000,51.500,0.51500,36.050
872,102.585,49.309,0.48066,33.646
873,100.000,50.102,0.50102,35.071
874,100.000,51.156,0.51156,35.809
875,100.000,49.993,0.49993,34.995
876,100.000,49.985,0.49985,34.989
