task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
step,fixed10,burst,230,0.0,198.8,0.0269,0.2796,0.0098,0.1510,4.0,54.1,0.000,0.000,0.000,151.6,0.532,0.0000
step,bsf,burst,230,0.0,197.6,0.0156,0.2803,0.0003,0.1510,4.0,133.0,0.000,0.000,0.000,150.7,0.529,0.0000
step,fixed10,burst,230,0.2,200.4,5162.9092,12832.7862,11380.9078,0.7610,15.4,231.3,0.000,0.000,0.000,152.8,0.536,0.3149
step,bsf,burst,230,0.2,201.3,0.1883,0.3648,0.1888,0.1510,5.0,161.1,0.000,0.000,0.000,153.5,0.539,0.0000
circle,fixed10,burst,230,0.0,193.5,3645.2765,9530.2637,8267.9446,0.7800,15.2,223.7,0.000,0.000,0.000,147.6,0.518,0.4833
circle,bsf,burst,230,0.0,197.8,0.1054,1.6012,0.0476,0.1670,4.1,135.2,0.000,0.000,0.000,150.9,0.529,0.0013
circle,fixed10,burst,230,0.2,196.8,2120.2687,5684.5847,4876.8876,0.7750,16.0,227.5,0.000,0.000,0.000,150.1,0.527,0.0629
circle,bsf,burst,230,0.2,204.9,0.2187,1.6055,0.1947,0.1650,5.1,161.4,0.000,0.000,0.000,156.3,0.548,0.0017
fig8,fixed10,burst,230,0.0,199.4,8248.9469,24009.3484,20097.9709,0.7730,15.5,230.9,0.000,0.000,0.000,152.1,0.534,0.3556
fig8,bsf,burst,230,0.0,198.9,0.0448,0.4416,0.0540,0.1510,4.0,134.4,0.000,0.000,0.000,151.7,0.532,0.0000
fig8,fixed10,burst,230,0.2,196.2,421.3922,1038.1728,917.6421,0.7670,15.2,229.8,0.000,0.000,0.000,149.6,0.525,0.1640
fig8,bsf,burst,230,0.2,195.3,0.1941,0.4506,0.1960,0.1520,5.0,160.6,0.000,0.000,0.000,148.9,0.523,0.0000
hover,fixed10,random,231,0.0,159.7,0.0032,0.0512,0.0000,0.0130,4.0,52.2,0.000,0.000,0.000,147.5,0.518,0.0000
hover,bsf,random,231,0.0,167.8,0.0028,0.0502,0.0000,0.2520,4.0,134.6,0.000,0.000,0.000,155.0,0.544,0.0000
hover,fixed10,random,231,0.2,162.6,0.1898,0.1954,0.1902,0.0230,5.0,65.0,0.000,0.000,0.000,150.2,0.527,0.0000
hover,bsf,random,231,0.2,165.5,0.1883,0.1938,0.1888,0.4660,5.0,161.1,0.000,0.000,0.000,152.8,0.536,0.0000
step,fixed10,random,231,0.0,165.3,0.0152,0.2746,0.0003,0.0120,4.0,52.8,0.000,0.000,0.000,152.7,0.536,0.0000
step,bsf,random,231,0.0,166.3,0.0155,0.2803,0.0003,0.2520,4.0,133.6,0.000,0.000,0.000,153.7,0.539,0.0000
step,fixed10,random,231,0.2,170.8,0.1899,0.3715,0.1902,0.0230,5.0,66.5,0.000,0.000,0.000,157.7,0.553,0.0000
step,bsf,random,231,0.2,166.6,0.1884,0.3648,0.1888,0.4700,5.0,162.7,0.000,0.000,0.000,153.9,0.540,0.0000
circle,fixed10,random,231,0.0,164.8,0.1109,1.5888,0.0426,0.0150,4.0,54.8,0.000,0.000,0.000,152.3,0.534,0.0012
circle,bsf,random,231,0.0,166.0,0.1025,1.5744,0.0476,0.2650,4.1,133.0,0.000,0.000,0.000,153.3,0.538,0.0012
circle,fixed10,random,231,0.2,164.1,0.2361,1.5908,0.2023,0.0240,5.1,64.7,0.000,0.000,0.000,151.6,0.532,0.0038
circle,bsf,random,231,0.2,164.9,0.2171,1.5793,0.1946,0.5190,5.1,164.3,0.000,0.000,0.000,152.4,0.535,0.0013
fig8,fixed10,random,231,0.0,161.0,0.0470,0.5362,0.0484,0.0130,4.0,52.2,0.000,0.000,0.000,148.7,0.522,0.0000
fig8,bsf,random,231,0.0,162.4,0.0469,0.5153,0.0540,0.2710,4.0,132.5,0.000,0.000,0.000,150.0,0.526,0.0000
fig8,fixed10,random,231,0.2,171.0,0.1966,0.5446,0.1961,0.0200,5.0,64.1,0.000,0.000,0.000,158.0,0.554,0.0000
fig8,bsf,random,231,0.2,161.8,0.1947,0.5248,0.1960,0.5220,5.0,163.7,0.000,0.000,0.000,149.5,0.525,0.0000
hover,fixed10,periodic,231,0.0,198.3,0.0083,0.0578,0.0004,0.2000,4.0,52.8,0.000,0.000,0.000,158.3,0.555,0.0000
hover,bsf,periodic,231,0.0,188.3,0.0028,0.0502,0.0000,0.2000,4.0,132.2,0.000,0.000,0.000,150.3,0.527,0.0000
hover,fixed10,periodic,231,0.2,189.9,0.5196,4.0911,0.5611,0.2000,5.2,63.7,0.000,0.000,0.000,151.6,0.532,0.0043
hover,bsf,periodic,231,0.2,192.8,0.1883,0.1938,0.1888,0.2010,5.0,163.7,0.000,0.000,0.000,153.9,0.540,0.0000
step,fixed10,periodic,231,0.0,192.3,0.0170,0.2746,0.0023,0.2000,4.0,52.6,0.000,0.000,0.000,153.5,0.539,0.0000
step,bsf,periodic,231,0.0,189.2,0.0155,0.2803,0.0003,0.2000,4.0,133.2,0.000,0.000,0.000,151.0,0.530,0.0000
step,fixed10,periodic,231,0.2,189.5,0.5330,4.0911,0.6965,0.2000,5.2,64.0,0.000,0.000,0.000,151.3,0.531,0.0060
step,bsf,periodic,231,0.2,194.7,0.1884,0.3648,0.1888,0.2000,5.0,163.1,0.000,0.000,0.000,155.4,0.545,0.0000
circle,fixed10,periodic,231,0.0,187.9,0.2487,1.5888,0.0867,0.2000,4.2,53.4,0.000,0.000,0.000,150.0,0.526,0.0013
circle,bsf,periodic,231,0.0,192.4,0.1034,1.5744,0.0476,0.2020,4.1,134.0,0.000,0.000,0.000,153.6,0.539,0.0012
circle,fixed10,periodic,231,0.2,196.0,201.5788,1133.9856,522.1849,0.3540,8.5,64.4,0.000,0.000,0.000,156.4,0.549,0.1496
circle,bsf,periodic,231,0.2,186.4,0.2177,1.5793,0.1946,0.2010,5.0,164.3,0.000,0.000,0.000,148.7,0.522,0.0013
fig8,fixed10,periodic,231,0.0,192.7,0.1291,1.0655,0.0487,0.2000,4.1,53.5,0.000,0.000,0.000,153.8,0.540,0.0000
fig8,bsf,periodic,231,0.0,185.7,0.0469,0.5153,0.0540,0.2000,4.0,132.8,0.000,0.000,0.000,148.2,0.520,0.0000
fig8,fixed10,periodic,231,0.2,202.2,0.6729,4.6893,1.2373,0.2010,5.5,64.9,0.000,0.000,0.000,161.4,0.566,0.0122
fig8,bsf,periodic,231,0.2,189.8,0.1947,0.5248,0.1960,0.2000,5.0,161.2,0.000,0.000,0.000,151.5,0.532,0.0000
hover,fixed10,burst,231,0.0,192.4,1028.0089,1845.2111,1749.6769,0.9900,18.6,228.3,0.000,0.000,0.000,148.5,0.521,0.3317
hover,bsf,burst,231,0.0,201.5,0.0028,0.0502,0.0000,0.1640,4.0,131.2,0.000,0.000,0.000,155.5,0.546,0.0000
hover,fixed10,burst,231,0.2,203.3,1.6437,10.0375,3.5983,0.1750,5.8,65.0,0.000,0.000,0.000,156.9,0.550,0.0179
hover,bsf,burst,231,0.2,196.9,0.1883,0.1938,0.1888,0.1650,5.0,164.4,0.000,0.000,0.000,151.9,0.533,0.0000
step,fixed10,burst,231,0.0,199.0,5232.0607,11849.2932,10663.0019,0.9890,19.5,235.6,0.000,0.000,0.000,153.5,0.539,0.5000
step,bsf,burst,231,0.0,196.2,0.0155,0.2803,0.0003,0.1640,4.0,133.0,0.000,0.000,0.000,151.4,0.531,0.0000
step,fixed10,burst,231,0.2,194.4,1.5816,10.0268,0.8285,0.1690,5.6,64.4,0.000,0.000,0.000,150.0,0.526,0.0100
step,bsf,burst,231,0.2,196.3,0.1884,0.3648,0.1888,0.1640,5.0,161.4,0.000,0.000,0.000,151.5,0.532,0.0000
circle,fixed10,burst,231,0.0,197.3,9855.1179,22096.5051,19926.9042,0.9920,19.7,234.0,0.000,0.000,0.000,152.3,0.534,0.4782
circle,bsf,burst,231,0.0,192.9,0.1035,1.5744,0.0476,0.1720,4.1,132.9,0.000,0.000,0.000,148.8,0.522,0.0012
circle,fixed10,burst,231,0.2,195.7,6044.3930,12852.1933,11630.0014,0.9920,19.6,233.0,0.000,0.000,0.000,151.0,0.530,0.3734
circle,bsf,burst,231,0.2,198.5,0.2179,1.5793,0.1946,0.1700,5.0,163.6,0.000,0.000,0.000,153.2,0.537,0.0013
fig8,fixed10,burst,231,0.0,197.2,10095.2538,21940.5316,19998.9627,0.9920,19.4,235.0,0.000,0.000,0.000,152.2,0.534,0.1693
fig8,bsf,burst,231,0.0,194.9,0.0469,0.5153,0.0540,0.1640,4.0,133.4,0.000,0.000,0.000,150.4,0.528,0.0000
fig8,fixed10,burst,231,0.2,197.7,10602.5539,21908.4524,20275.2290,0.9920,19.7,234.4,0.000,0.000,0.000,152.5,0.535,0.1704
fig8,bsf,burst,231,0.2,197.7,0.1947,0.5248,0.1960,0.1660,5.0,163.8,0.000,0.000,0.000,152.5,0.535,0.0000
hover,fixed10,random,232,0.0,161.7,0.0011,0.0182,0.0000,0.0140,4.0,52.7,0.000,0.000,0.000,151.8,0.533,0.0000
hover,bsf,random,232,0.0,161.0,0.0010,0.0182,0.0000,0.3150,4.0,134.1,0.000,0.000,0.000,151.1,0.530,0.0000
hover,fixed10,random,232,0.2,166.4,0.1897,0.1964,0.1902,0.0230,5.0,64.2,0.000,0.000,0.000,156.2,0.548,0.0000
