# recorded=2026-09-18T17:23:38+0800
# uname=Linux iZ0jl59glej0v8rv680qyqZ 6.8.0-137-generic #137-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 17 20:28:23 UTC 2026 x86_64 x86_64
# python=3.11.15 cpu_count=4
# workers=24 period_s=0.1 beats=1050
beat,wall_ms,cpu_ms,duty,units
943,100.000,16.574,0.16574,11.602
944,107.180,16.104,0.15025,10.518
945,102.102,16.835,0.16489,11.542
946,109.887,17.094,0.15556,10.889
947,102.663,16.755,0.16320,11.424
948,110.337,16.500,0.14954,10.468
949,105.000,17.528,0.16693,11.685
950,113.000,18.001,0.15930,11.151
951,111.000,17.925,0.16148,11.304
952,100.000,16.382,0.16382,11.467
953,110.000,15.387,0.13988,9.792
954,119.999,17.599,0.14666,10.266
955,100.000,16.771,0.16771,11.740
956,112.001,15.568,0.13899,9.730
957,105.000,16.907,0.16102,11.271
958,107.883,17.122,0.15871,11.110
959,106.116,18.145,0.17100,11.970
960,116.001,18.054,0.15563,10.894
961,109.664,19.030,0.17353,12.147
962,108.334,17.921,0.16542,11.579
963,108.937,17.582,0.16140,11.298
964,105.064,17.545,0.16699,11.689
965,102.113,15.994,0.15663,10.964
966,102.886,17.226,0.16743,11.720
967,111.004,16.937,0.15258,10.680
968,101.996,16.609,0.16284,11.399
969,100.000,18.653,0.18653,13.057
970,111.001,16.790,0.15126,10.588
971,111.999,17.816,0.15907,11.135
972,114.003,19.210,0.16851,11.795
973,104.560,15.986,0.15289,10.702
974,111.436,17.495,0.15699,10.989
975,107.001,17.215,0.16088,11.262
976,103.000,14.884,0.14450,10.115
977,110.000,17.992,0.16356,11.449
978,110.999,17.721,0.15965,11.176
979,100.000,16.000,0.16000,11.200
980,105.001,17.002,0.16192,11.335
981,106.999,17.270,0.16140,11.298
982,106.000,17.996,0.16977,11.884
983,106.000,15.000,0.14151,9.906
984,112.390,18.656,0.16599,11.619
985,110.604,17.807,0.16100,11.270
986,100.066,16.320,0.16309,11.417
987,100.000,17.639,0.17639,12.348
988,100.000,16.635,0.16635,11.645
989,100.000,15.298,0.15298,10.708
990,105.772,16.980,0.16053,11.237
991,104.525,17.670,0.16905,11.834
992,102.648,16.741,0.16309,11.416
993,108.386,18.169,0.16763,11.734
994,102.610,17.284,0.16844,11.791
995,108.899,17.418,0.15995,11.196
996,111.101,18.338,0.16506,11.554
997,111.062,16.115,0.14510,10.157
998,103.939,18.434,0.17735,12.415
999,116.000,16.589,0.14301,10.010
1000,111.999,17.542,0.15662,10.964
1001,114.000,17.389,0.15253,10.677
1002,109.000,17.226,0.15803,11.062
1003,107.000,16.609,0.15522,10.865
1004,107.999,16.431,0.15214,10.650
1005,113.796,17.826,0.15665,10.965
1006,111.819,16.687,0.14923,10.446
