task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
fig8,reactive,periodic,230,0.2,171.1,20142.2011,45610.3475,41040.2360,0.9950,19.6,212.8,0.998,0.002,0.000,136.6,0.479,0.8207
fig8,fixed20,periodic,230,0.2,172.0,3658.5615,8171.3078,7375.2302,1.0000,8.0,224.8,0.000,0.000,0.000,137.3,0.482,0.0000
hover,v3,burst,230,0.0,185.6,0.0069,0.0730,0.0008,0.1530,4.0,49.4,0.994,0.003,0.003,141.5,0.497,0.0000
hover,reactive,burst,230,0.0,182.6,0.0063,0.0639,0.0006,0.1530,4.0,122.9,0.147,0.012,0.841,139.2,0.489,0.0000
hover,fixed20,burst,230,0.0,184.0,0.0242,0.3023,0.0030,0.1510,4.0,123.7,0.000,0.000,0.000,140.3,0.492,0.0000
hover,v3,burst,230,0.2,184.5,2152.6853,6059.3745,5133.5080,0.7200,14.4,213.2,0.993,0.004,0.003,140.7,0.494,0.3226
hover,reactive,burst,230,0.2,185.2,2243.7053,5790.3537,5075.0677,0.7590,14.6,213.3,0.761,0.007,0.232,141.2,0.496,0.3027
hover,fixed20,burst,230,0.2,184.7,1877.4053,5010.3953,4319.9881,0.7630,7.1,232.5,0.000,0.000,0.000,140.9,0.494,0.1162
step,v3,burst,230,0.0,184.7,0.0158,0.2746,0.0034,0.1530,4.0,50.2,0.994,0.003,0.003,140.8,0.494,0.0000
step,reactive,burst,230,0.0,182.5,0.0166,0.2803,0.0034,0.1530,4.0,122.1,0.147,0.012,0.841,139.2,0.488,0.0000
step,fixed20,burst,230,0.0,182.8,0.0284,0.2993,0.0109,0.1510,4.0,123.6,0.000,0.000,0.000,139.4,0.489,0.0000
step,v3,burst,230,0.2,183.7,2544.6925,6533.5615,5689.7184,0.7580,14.7,212.3,0.993,0.004,0.003,140.1,0.492,0.0909
step,reactive,burst,230,0.2,184.8,7468.6471,20474.9992,17604.3223,0.7600,14.6,213.3,0.761,0.007,0.232,141.0,0.495,0.6117
step,fixed20,burst,230,0.2,183.6,1877.9246,5010.8001,4321.1180,0.7630,7.0,234.7,0.000,0.000,0.000,140.0,0.491,0.1161
circle,v3,burst,230,0.0,182.6,11845.4461,24808.1833,22766.4672,0.9970,19.0,212.2,0.993,0.004,0.003,139.3,0.489,0.5566
circle,reactive,burst,230,0.0,184.8,5035.7012,10834.4501,9906.9945,0.9870,18.9,216.2,0.997,0.003,0.000,140.9,0.495,0.2748
circle,fixed20,burst,230,0.0,177.6,6132.6701,14205.1742,12621.5787,0.9990,8.0,226.2,0.000,0.000,0.000,135.5,0.475,0.4983
circle,v3,burst,230,0.2,180.2,2364.3843,6309.5773,5437.7648,0.7780,16.0,212.0,0.993,0.004,0.003,137.5,0.482,0.0988
circle,reactive,burst,230,0.2,177.8,9025.3855,21047.7538,18814.8663,0.9370,18.6,204.5,0.978,0.020,0.002,135.6,0.476,0.4726
circle,fixed20,burst,230,0.2,179.7,7956.9679,15992.7460,14915.4475,0.9990,8.0,225.7,0.000,0.000,0.000,137.1,0.481,0.5310
fig8,v3,burst,230,0.0,179.1,3175.0826,8201.3323,7138.6203,0.7770,15.8,211.8,0.994,0.003,0.003,136.6,0.479,0.4374
fig8,reactive,burst,230,0.0,178.7,18766.6795,42599.5079,38277.3864,0.9890,19.4,211.3,0.989,0.008,0.003,136.3,0.478,0.8969
fig8,fixed20,burst,230,0.0,177.5,2151.3171,5555.8466,4837.4597,0.7820,7.0,225.0,0.000,0.000,0.000,135.4,0.475,0.1216
fig8,v3,burst,230,0.2,177.9,3497.7135,9281.7645,8016.9680,0.7750,14.9,204.6,0.993,0.004,0.003,135.7,0.476,0.4065
fig8,reactive,burst,230,0.2,186.2,10443.4644,23451.3591,21142.2293,0.9870,18.8,217.3,0.987,0.009,0.004,142.0,0.498,0.6364
fig8,fixed20,burst,230,0.2,188.5,2164.6182,5592.4449,4869.0977,0.7830,7.2,228.4,0.000,0.000,0.000,143.8,0.504,0.1225
hover,v3,random,231,0.0,146.9,0.0033,0.0512,0.0001,0.0140,4.0,46.8,0.994,0.003,0.003,135.7,0.476,0.0000
hover,reactive,random,231,0.0,147.9,7466.5936,16970.7697,15258.5149,0.9830,24.5,265.4,0.983,0.012,0.005,136.6,0.479,0.1824
hover,fixed20,random,231,0.0,146.3,20556.2478,43774.9200,40170.9571,0.9920,9.9,278.2,0.000,0.000,0.000,135.1,0.474,0.6164
hover,v3,random,231,0.2,147.4,0.1898,0.1986,0.1902,0.0230,5.0,57.7,0.993,0.004,0.003,136.2,0.478,0.0000
hover,reactive,random,231,0.2,146.7,9815.1170,16544.0806,15532.9268,0.9780,24.3,265.5,0.978,0.018,0.004,135.5,0.475,0.4774
hover,fixed20,random,231,0.2,151.9,4704.6559,10669.7342,9602.5169,0.9970,10.0,287.9,0.000,0.000,0.000,140.3,0.492,0.1006
step,v3,random,231,0.0,151.3,0.0152,0.2746,0.0008,0.0140,4.0,49.3,0.994,0.003,0.003,139.8,0.491,0.0000
step,reactive,random,231,0.0,152.0,7353.3678,15718.6673,14331.8257,0.9860,24.3,278.2,0.984,0.011,0.005,140.4,0.493,0.6160
step,fixed20,random,231,0.0,152.0,20556.4342,43775.1835,40171.2161,0.9920,9.9,286.4,0.000,0.000,0.000,140.4,0.493,0.6164
step,v3,random,231,0.2,151.0,0.1916,0.3723,0.1902,0.0270,5.0,60.9,0.993,0.004,0.003,139.5,0.489,0.0000
step,reactive,random,231,0.2,150.7,8235.8762,17632.4312,15910.5720,0.9710,23.8,274.4,0.977,0.020,0.003,139.2,0.488,0.5949
step,fixed20,random,231,0.2,151.5,4705.0177,10670.2303,9603.0125,0.9970,10.0,288.3,0.000,0.000,0.000,139.9,0.491,0.1006
circle,v3,random,231,0.0,152.4,24901.0287,53471.3303,48921.7188,0.9990,24.9,276.0,0.993,0.004,0.003,140.8,0.494,0.5732
circle,reactive,random,231,0.0,150.8,26192.6532,57566.6560,52265.3830,0.9990,24.1,270.0,0.999,0.001,0.000,139.3,0.489,0.5722
circle,fixed20,random,231,0.0,150.5,24901.0287,53471.3303,48921.7188,0.9990,10.0,288.4,0.000,0.000,0.000,139.1,0.488,0.5732
circle,v3,random,231,0.2,152.4,26030.8680,58250.6781,52553.7179,0.9990,24.4,273.1,0.993,0.004,0.003,140.8,0.494,0.5597
circle,reactive,random,231,0.2,152.2,22127.5377,46056.2896,42566.8766,0.9990,24.8,278.9,0.999,0.001,0.000,140.6,0.493,0.5682
circle,fixed20,random,231,0.2,152.0,26030.8680,58250.6781,52553.7179,0.9990,10.0,278.8,0.000,0.000,0.000,140.4,0.493,0.5597
fig8,v3,random,231,0.0,146.9,15558.6033,30339.7167,28602.1911,0.9990,25.1,262.4,0.993,0.004,0.003,135.7,0.476,0.2045
fig8,reactive,random,231,0.0,152.0,5379.2380,11882.5466,10749.2285,0.9860,24.4,278.2,0.984,0.013,0.003,140.4,0.493,0.5909
fig8,fixed20,random,231,0.0,151.4,15558.6033,30339.7167,28602.1911,0.9990,10.0,287.9,0.000,0.000,0.000,139.8,0.491,0.2045
fig8,v3,random,231,0.2,152.4,14922.0455,29822.3309,27911.5053,0.9990,24.8,278.4,0.993,0.004,0.003,140.8,0.494,0.1977
fig8,reactive,random,231,0.2,153.5,12628.6639,28573.3336,25718.4759,0.9740,24.3,279.2,0.975,0.022,0.003,141.8,0.497,0.5367
fig8,fixed20,random,231,0.2,151.3,14922.0455,29822.3309,27911.5053,0.9990,10.0,288.5,0.000,0.000,0.000,139.7,0.490,0.1977
hover,v3,periodic,231,0.0,171.1,0.0086,0.0582,0.0019,0.2020,4.0,46.4,0.977,0.020,0.003,136.6,0.479,0.0000
hover,reactive,periodic,231,0.0,170.6,0.0084,0.0578,0.0016,0.2010,4.0,119.0,0.191,0.020,0.789,136.2,0.478,0.0000
hover,fixed20,periodic,231,0.0,169.9,0.0083,0.0578,0.0005,0.2000,4.0,119.0,0.000,0.000,0.000,135.6,0.476,0.0000
hover,v3,periodic,231,0.2,170.7,0.7840,5.8741,0.9543,0.2090,5.4,57.1,0.977,0.020,0.003,136.2,0.478,0.0085
hover,reactive,periodic,231,0.2,170.2,1343.9947,4585.9384,3411.6609,0.6000,12.4,162.1,0.607,0.046,0.347,135.9,0.477,0.2761
hover,fixed20,periodic,231,0.2,170.0,3659.3626,8172.8815,7376.7036,1.0000,8.0,223.8,0.000,0.000,0.000,135.7,0.476,0.0000
step,v3,periodic,231,0.0,173.7,0.0172,0.2746,0.0077,0.2020,4.0,47.6,0.977,0.020,0.003,138.6,0.486,0.0000
step,reactive,periodic,231,0.0,170.7,0.0174,0.2803,0.0069,0.2010,4.0,117.6,0.191,0.020,0.789,136.2,0.478,0.0000
step,fixed20,periodic,231,0.0,169.9,0.0174,0.2803,0.0033,0.2000,4.0,118.6,0.000,0.000,0.000,135.6,0.476,0.0000
step,v3,periodic,231,0.2,172.9,1365.8183,3498.8971,3066.6091,0.7660,15.5,212.8,0.977,0.020,0.003,138.0,0.484,0.2812
step,reactive,periodic,231,0.2,169.7,2283.8434,5763.4822,5324.7987,0.5980,11.4,160.2,0.598,0.028,0.374,135.5,0.475,0.2265
step,fixed20,periodic,231,0.2,176.2,3659.7354,8173.3815,7377.2036,1.0000,8.0,233.6,0.000,0.000,0.000,140.7,0.494,0.0000
circle,v3,periodic,231,0.0,175.0,0.2737,1.5888,0.2274,0.2050,4.2,49.7,0.977,0.020,0.003,139.7,0.490,0.0023
circle,reactive,periodic,231,0.0,175.2,6959.7459,15852.2591,14247.1413,0.9800,18.6,214.0,0.998,0.002,0.000,139.9,0.491,0.6457
circle,fixed20,periodic,231,0.0,176.6,5313.7310,16356.4538,13422.3176,0.9990,7.9,233.0,0.000,0.000,0.000,140.9,0.494,0.2801
circle,v3,periodic,231,0.2,176.0,7671.8551,16798.2761,15299.0484,0.9260,18.1,214.4,0.977,0.020,0.003,140.4,0.493,0.4489
circle,reactive,periodic,231,0.2,175.8,14887.4655,35947.2905,31874.9326,0.9190,17.6,213.1,0.935,0.007,0.058,140.3,0.492,0.8528
circle,fixed20,periodic,231,0.2,170.5,3659.7357,8173.3817,7377.2038,1.0000,8.0,224.6,0.000,0.000,0.000,136.1,0.478,0.0000
fig8,v3,periodic,231,0.0,170.7,0.2613,2.4811,0.0488,0.2030,4.2,47.1,0.977,0.020,0.003,136.2,0.478,0.0045
fig8,reactive,periodic,231,0.0,169.2,5719.4226,13036.1622,11713.4713,0.9680,18.6,203.4,0.988,0.010,0.002,135.1,0.474,0.5439
fig8,fixed20,periodic,231,0.0,176.7,8319.9139,17519.7648,15889.1324,0.9990,7.9,235.2,0.000,0.000,0.000,141.0,0.495,0.4713
fig8,v3,periodic,231,0.2,175.1,2894.3348,6207.9872,5702.2361,0.9500,18.5,215.0,0.977,0.020,0.003,139.8,0.490,0.3737
fig8,reactive,periodic,231,0.2,175.5,12152.4520,28166.5748,25294.7951,0.9630,18.4,215.1,0.981,0.016,0.003,140.0,0.491,0.6042
fig8,fixed20,periodic,231,0.2,175.5,3659.7356,8173.3815,7377.2037,1.0000,8.0,233.3,0.000,0.000,0.000,140.1,0.492,0.0000
hover,v3,burst,231,0.0,181.1,6381.1143,14197.0588,12822.0402,0.9870,18.6,216.0,0.994,0.003,0.003,139.7,0.490,0.6103
hover,reactive,burst,231,0.0,181.6,9941.4726,22768.5796,20456.8691,0.9930,18.7,213.6,0.992,0.003,0.005,140.1,0.492,0.1308
hover,fixed20,burst,231,0.0,181.5,4472.0871,10052.0882,9060.4518,0.9920,7.9,233.6,0.000,0.000,0.000,140.1,0.491,0.1486
hover,v3,burst,231,0.2,182.6,1.0288,7.5367,0.5397,0.1680,5.5,61.9,0.993,0.004,0.003,140.9,0.494,0.0089
hover,reactive,burst,231,0.2,181.4,6977.9221,12665.2671,11836.2778,0.8960,18.0,214.0,0.978,0.017,0.005,140.0,0.491,0.3522
hover,fixed20,burst,231,0.2,181.1,3899.0314,8775.0334,7907.1510,0.9920,7.9,232.9,0.000,0.000,0.000,139.7,0.490,0.1340
step,v3,burst,231,0.0,181.5,6017.5130,13787.7750,12375.3418,0.9860,18.6,217.4,0.994,0.003,0.003,140.1,0.491,0.5895
step,reactive,burst,231,0.0,182.2,18673.6871,43034.6240,38579.1496,0.9920,18.7,213.2,0.992,0.003,0.005,140.6,0.493,0.9326
step,fixed20,burst,231,0.0,182.3,4472.4569,10052.5877,9060.9513,0.9920,7.9,233.3,0.000,0.000,0.000,140.6,0.494,0.1486
step,v3,burst,231,0.2,182.8,1.0491,7.5372,0.9388,0.1730,5.6,61.9,0.993,0.004,0.003,141.0,0.495,0.0104
step,reactive,burst,231,0.2,180.9,4051.3193,9435.6869,8435.1374,0.9750,18.6,213.8,0.991,0.004,0.005,139.6,0.490,0.4229
step,fixed20,burst,231,0.2,181.3,3899.3993,8775.5301,7907.6478,0.9920,7.9,232.8,0.000,0.000,0.000,139.9,0.491,0.1340
circle,v3,burst,231,0.0,181.4,17662.0037,32613.6880,31195.1906,0.9990,18.9,213.8,0.993,0.004,0.003,140.0,0.491,0.5803
circle,reactive,burst,231,0.0,181.3,14375.2328,32117.4094,28986.2514,0.9980,19.0,212.8,0.999,0.001,0.000,139.8,0.491,0.6640
circle,fixed20,burst,231,0.0,182.0,5313.7310,16356.4538,13422.3176,0.9990,7.9,232.4,0.000,0.000,0.000,140.5,0.493,0.2801
circle,v3,burst,231,0.2,182.4,7757.0635,17609.1556,15834.3540,0.9960,18.9,213.2,0.993,0.004,0.003,140.7,0.494,0.6093
circle,reactive,burst,231,0.2,181.2,6495.6562,14368.5195,12969.6792,0.9940,18.9,213.8,0.994,0.006,0.000,139.8,0.491,0.3776
circle,fixed20,burst,231,0.2,180.9,8784.7979,18109.2543,16550.3843,0.9990,8.0,233.2,0.000,0.000,0.000,139.6,0.490,0.5431
fig8,v3,burst,231,0.0,176.9,15362.1079,34409.2438,31038.1264,0.9980,19.1,205.7,0.993,0.004,0.003,136.5,0.479,0.6773
fig8,reactive,burst,231,0.0,185.4,9738.6756,21879.8597,19723.1732,0.9950,19.4,222.9,0.994,0.004,0.002,143.0,0.502,0.5988
fig8,fixed20,burst,231,0.0,182.4,15558.6033,30339.7167,28602.1911,0.9990,7.9,232.6,0.000,0.000,0.000,140.7,0.494,0.2045
fig8,v3,burst,231,0.2,181.3,6343.0553,14178.3701,12793.1708,0.9940,18.8,214.2,0.993,0.004,0.003,139.9,0.491,0.1621
fig8,reactive,burst,231,0.2,184.0,6632.9311,14708.9203,13261.2097,0.9940,18.9,214.3,0.992,0.004,0.004,142.0,0.498,0.1697
fig8,fixed20,burst,231,0.2,181.9,11900.6704,25714.0176,23516.2442,0.9920,7.9,232.6,0.000,0.000,0.000,140.3,0.492,0.1723
hover,v3,random,232,0.0,149.4,0.0011,0.0182,0.0000,0.0160,4.0,50.2,0.993,0.004,0.003,140.3,0.492,0.0000
hover,reactive,random,232,0.0,146.6,11208.6585,23686.7467,21360.3502,0.9660,24.5,270.0,0.956,0.020,0.024,137.7,0.483,0.5487
hover,fixed20,random,232,0.0,145.3,9472.7067,18720.5809,17547.0135,0.9930,9.9,276.0,0.000,0.000,0.000,136.4,0.478,0.1349
hover,v3,random,232,0.2,144.1,0.1898,0.2009,0.1902,0.0260,5.0,57.6,0.993,0.004,0.003,135.2,0.475,0.0000
hover,reactive,random,232,0.2,144.3,5236.0385,11897.6841,10697.3796,0.9660,24.0,263.1,0.964,0.027,0.009,135.4,0.475,0.4337
hover,fixed20,random,232,0.2,145.0,17982.2148,37439.7265,34597.0240,0.9970,9.9,276.1,0.000,0.000,0.000,136.1,0.477,0.3691
step,v3,random,232,0.0,145.0,0.0149,0.2746,0.0004,0.0160,4.0,47.4,0.994,0.003,0.003,136.1,0.478,0.0000
step,reactive,random,232,0.0,144.8,7023.9006,13892.9611,13109.8968,0.9600,23.9,265.7,0.958,0.021,0.021,135.9,0.477,0.5553
step,fixed20,random,232,0.0,145.0,9472.8701,18720.8303,17547.2537,0.9930,9.9,277.1,0.000,0.000,0.000,136.1,0.477,0.1349
step,v3,random,232,0.2,145.2,0.1899,0.3707,0.1902,0.0250,5.0,57.1,0.993,0.004,0.003,136.3,0.478,0.0000
step,reactive,random,232,0.2,146.5,18197.2968,41441.9388,37247.9819,0.9730,24.9,272.0,0.972,0.022,0.006,137.5,0.482,0.6577
step,fixed20,random,232,0.2,144.5,17982.3691,37439.9502,34597.2424,0.9970,9.9,279.5,0.000,0.000,0.000,135.7,0.476,0.3691
circle,v3,random,232,0.0,149.4,4063.5991,9207.3230,8280.7182,0.9940,24.1,271.6,0.993,0.004,0.003,140.3,0.492,0.2155
circle,reactive,random,232,0.0,149.2,8628.9474,19357.0800,17454.9504,0.9940,24.5,277.9,0.999,0.001,0.000,140.0,0.491,0.6957
circle,fixed20,random,232,0.0,148.7,8237.4504,17980.6736,16307.3192,0.9990,10.0,286.6,0.000,0.000,0.000,139.6,0.490,0.5537
circle,v3,random,232,0.2,150.0,18903.4289,43433.0626,39003.4247,0.9930,24.6,278.2,0.993,0.004,0.003,140.8,0.494,0.9286
circle,reactive,random,232,0.2,148.4,12584.7362,28306.2996,25510.3301,0.9930,24.4,276.5,0.998,0.002,0.000,139.3,0.489,0.6060
circle,fixed20,random,232,0.2,150.2,6198.7007,13001.6305,11911.4868,0.9990,10.0,286.2,0.000,0.000,0.000,141.0,0.495,0.4792
fig8,v3,random,232,0.0,149.7,10718.5450,23916.9450,21591.4548,0.9960,24.4,278.9,0.993,0.004,0.003,140.5,0.493,0.5861
fig8,reactive,random,232,0.0,148.6,8834.1200,19664.3412,17760.3406,0.9930,23.9,270.2,0.997,0.003,0.000,139.5,0.490,0.6238
fig8,fixed20,random,232,0.0,148.7,9299.8785,18202.9783,16407.1597,0.9990,10.0,288.6,0.000,0.000,0.000,139.6,0.490,0.3144
fig8,v3,random,232,0.2,148.6,0.2007,0.6112,0.1964,0.0290,5.0,60.7,0.993,0.004,0.003,139.5,0.489,0.0000
fig8,reactive,random,232,0.2,149.4,12110.9697,28171.7937,25197.3188,0.9890,24.1,272.9,0.994,0.006,0.000,140.2,0.492,0.6172
fig8,fixed20,random,232,0.2,148.9,14910.3404,25565.7741,24993.5948,0.9990,10.0,289.4,0.000,0.000,0.000,139.8,0.490,0.2372
hover,v3,periodic,232,0.0,174.3,0.0024,0.0191,0.0007,0.2020,4.0,49.4,0.977,0.020,0.003,139.1,0.488,0.0000
hover,reactive,periodic,232,0.0,175.5,0.0023,0.0182,0.0007,0.2010,4.0,122.8,0.191,0.020,0.789,140.1,0.491,0.0000
hover,fixed20,periodic,232,0.0,170.3,0.0023,0.0182,0.0002,0.2000,4.0,119.2,0.000,0.000,0.000,136.0,0.477,0.0000
hover,v3,periodic,232,0.2,170.1,2541.4430,5447.0995,4932.4235,0.9270,17.7,204.6,0.977,0.020,0.003,135.8,0.476,0.3229
hover,reactive,periodic,232,0.2,168.9,1718.7791,4758.4551,4051.7540,0.7290,14.4,202.4,0.747,0.029,0.224,134.8,0.473,0.3042
hover,fixed20,periodic,232,0.2,170.9,3659.6651,8173.4353,7377.2278,1.0000,8.0,225.2,0.000,0.000,0.000,136.4,0.479,0.0000
step,v3,periodic,232,0.0,171.0,0.0151,0.2746,0.0034,0.2020,4.0,47.5,0.977,0.020,0.003,136.5,0.479,0.0000
step,reactive,periodic,232,0.0,169.4,0.0154,0.2803,0.0034,0.2010,4.0,118.6,0.191,0.020,0.789,135.2,0.475,0.0000
step,fixed20,periodic,232,0.0,172.2,0.0154,0.2803,0.0017,0.2000,4.0,118.8,0.000,0.000,0.000,137.5,0.482,0.0000
step,v3,periodic,232,0.2,175.7,9849.6474,23511.5738,20969.2181,0.9270,17.6,214.2,0.977,0.020,0.003,140.3,0.492,0.4975
step,reactive,periodic,232,0.2,175.6,1168.0275,3412.3656,2852.8531,0.6750,13.2,213.0,0.680,0.022,0.298,140.1,0.492,0.1518
step,fixed20,periodic,232,0.2,175.2,3660.0378,8173.9353,7377.7278,1.0000,8.0,232.5,0.000,0.000,0.000,139.8,0.491,0.0000
circle,v3,periodic,232,0.0,169.5,0.2752,1.5940,0.2196,0.2040,4.2,47.4,0.977,0.020,0.003,135.3,0.475,0.0025
circle,reactive,periodic,232,0.0,171.3,2976.0155,6632.4929,5988.3686,0.9890,19.6,213.0,0.999,0.001,0.000,136.7,0.480,0.4883
circle,fixed20,periodic,232,0.0,170.2,3298.6608,9189.2583,8122.0563,0.9990,8.0,223.4,0.000,0.000,0.000,135.9,0.477,0.2185
circle,v3,periodic,232,0.2,169.4,11172.1541,28578.5902,24948.8011,0.9240,18.0,204.3,0.977,0.020,0.003,135.2,0.474,0.7421
