task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
hover,v3,random,230,0.0,175.4,0.0066,0.0771,0.0002,0.0130,4.0,52.4,0.992,0.004,0.004,165.0,0.579,0.0000
hover,reactive,random,230,0.0,168.2,18804.4056,39808.5164,36632.1328,0.9860,23.2,310.6,0.984,0.009,0.007,158.2,0.555,0.6126
hover,fixed20,random,230,0.0,167.1,16968.1847,36408.0583,33344.3369,0.9910,9.2,319.2,0.000,0.000,0.000,157.2,0.552,0.3276
hover,v3,random,230,0.2,173.7,0.1897,0.1999,0.1902,0.0260,5.0,69.7,0.992,0.004,0.004,163.4,0.573,0.0000
hover,reactive,random,230,0.2,163.8,20708.6188,46786.9813,42124.1424,0.9870,22.7,302.7,0.985,0.009,0.006,154.1,0.541,0.8709
hover,fixed20,random,230,0.2,200.4,8956.2521,18729.6670,17267.7974,0.9980,10.9,379.9,0.000,0.000,0.000,188.6,0.662,0.1799
step,v3,random,230,0.0,165.9,0.0153,0.2746,0.0008,0.0200,4.0,58.2,0.994,0.003,0.003,156.1,0.548,0.0000
step,reactive,random,230,0.0,203.1,19125.4356,44584.6562,39863.7581,0.9550,29.2,373.7,0.950,0.031,0.019,191.1,0.670,0.6012
step,fixed20,random,230,0.0,163.0,20566.8494,45810.1456,41439.5687,0.9870,10.6,310.0,0.000,0.000,0.000,153.4,0.538,0.4728
step,v3,random,230,0.2,147.1,0.1898,0.3715,0.1902,0.0240,5.0,56.7,0.993,0.004,0.003,138.5,0.486,0.0000
step,reactive,random,230,0.2,147.0,5753.5033,12988.0355,11694.9682,0.9770,23.9,269.8,0.975,0.018,0.007,138.3,0.485,0.5021
step,fixed20,random,230,0.2,162.2,8956.4780,18729.9972,17268.1200,0.9980,10.4,311.0,0.000,0.000,0.000,152.6,0.536,0.1799
circle,v3,random,230,0.0,148.9,21455.3699,44095.6073,40937.0547,0.9990,24.7,277.8,0.993,0.004,0.003,140.2,0.492,0.5798
circle,reactive,random,230,0.0,148.1,20007.7281,45535.6826,40932.9825,0.9950,23.9,270.5,0.998,0.002,0.000,139.3,0.489,0.9721
circle,fixed20,random,230,0.0,151.4,9005.4849,18830.2808,17367.5209,0.9990,10.0,288.6,0.000,0.000,0.000,142.5,0.500,0.5855
circle,v3,random,230,0.2,144.9,19267.5578,43647.9396,39261.8495,0.9900,25.3,267.9,0.993,0.004,0.003,136.3,0.478,0.8831
circle,reactive,random,230,0.2,146.9,4307.0461,9659.5302,8710.6567,0.9880,25.2,273.7,0.996,0.004,0.000,138.2,0.485,0.3576
circle,fixed20,random,230,0.2,144.6,5475.7957,11775.1821,10703.3326,0.9990,10.0,277.2,0.000,0.000,0.000,136.1,0.478,0.4026
fig8,v3,random,230,0.0,145.8,4740.7885,10409.7679,9428.6959,0.9970,25.4,271.6,0.993,0.004,0.003,137.2,0.481,0.5215
fig8,reactive,random,230,0.0,145.4,11067.6668,24752.9780,22334.9712,0.9940,25.0,264.9,0.994,0.005,0.001,136.8,0.480,0.6010
fig8,fixed20,random,230,0.0,144.5,11980.2105,19647.4193,19192.3004,0.9990,10.0,277.3,0.000,0.000,0.000,136.0,0.477,0.2591
fig8,v3,random,230,0.2,149.5,0.2121,1.0288,0.1961,0.0280,5.0,59.7,0.993,0.004,0.003,140.7,0.494,0.0000
fig8,reactive,random,230,0.2,149.8,11275.4712,25262.6226,22782.1451,0.9910,24.6,278.9,0.993,0.007,0.000,140.9,0.495,0.3754
fig8,fixed20,random,230,0.2,147.8,3658.5615,8171.3078,7375.2302,1.0000,10.0,288.7,0.000,0.000,0.000,139.1,0.488,0.0000
hover,v3,periodic,230,0.0,175.0,0.0106,0.0777,0.0007,0.2020,4.0,49.2,0.977,0.020,0.003,139.7,0.490,0.0000
hover,reactive,periodic,230,0.0,174.4,0.0103,0.0763,0.0006,0.2010,4.0,123.3,0.191,0.020,0.789,139.2,0.489,0.0000
hover,fixed20,periodic,230,0.0,171.0,0.0103,0.0763,0.0002,0.2000,4.0,119.5,0.000,0.000,0.000,136.5,0.479,0.0000
hover,v3,periodic,230,0.2,174.7,0.7939,5.7381,1.2340,0.2100,5.5,60.7,0.977,0.020,0.003,139.4,0.489,0.0095
hover,reactive,periodic,230,0.2,175.6,1998.8556,7325.7168,5479.0925,0.5330,11.1,152.6,0.564,0.045,0.391,140.1,0.492,0.0960
hover,fixed20,periodic,230,0.2,174.2,3658.1885,8170.8078,7374.7297,1.0000,7.9,232.7,0.000,0.000,0.000,139.0,0.488,0.0000
step,v3,periodic,230,0.0,175.4,0.0183,0.2746,0.0034,0.2020,4.0,49.1,0.977,0.020,0.003,140.0,0.491,0.0000
step,reactive,periodic,230,0.0,175.6,0.0184,0.2803,0.0034,0.2010,4.0,123.2,0.191,0.020,0.789,140.2,0.492,0.0000
step,fixed20,periodic,230,0.0,175.3,0.0184,0.2803,0.0024,0.2000,4.0,122.9,0.000,0.000,0.000,139.9,0.491,0.0000
step,v3,periodic,230,0.2,174.8,2349.1184,6903.5654,5756.7038,0.6820,13.5,211.8,0.977,0.020,0.003,139.5,0.490,0.2783
step,reactive,periodic,230,0.2,175.9,0.7069,4.4317,0.8388,0.2170,5.4,149.9,0.221,0.061,0.718,140.4,0.493,0.0133
step,fixed20,periodic,230,0.2,170.8,3658.5612,8171.3078,7375.2297,1.0000,8.0,224.7,0.000,0.000,0.000,136.3,0.478,0.0000
circle,v3,periodic,230,0.0,176.9,0.2666,1.6133,0.0901,0.2050,4.2,49.5,0.977,0.020,0.003,141.2,0.495,0.0009
circle,reactive,periodic,230,0.0,174.8,5968.3551,13342.4051,12039.8786,0.9970,18.7,215.0,0.999,0.001,0.000,139.5,0.490,0.5627
circle,fixed20,periodic,230,0.0,174.3,6132.6701,14205.1742,12621.5787,0.9990,7.9,232.8,0.000,0.000,0.000,139.1,0.488,0.4983
circle,v3,periodic,230,0.2,174.5,0.9396,6.3775,1.7460,0.2060,5.7,59.5,0.977,0.020,0.003,139.3,0.489,0.0123
circle,reactive,periodic,230,0.2,172.2,6757.5586,15182.8268,13680.8280,0.9970,19.7,213.3,0.999,0.001,0.000,137.5,0.482,0.5254
circle,fixed20,periodic,230,0.2,170.6,3658.5615,8171.3076,7375.2298,1.0000,8.0,224.4,0.000,0.000,0.000,136.2,0.478,0.0000
fig8,v3,periodic,230,0.0,169.9,7030.2885,15701.7636,14170.9913,0.9970,18.9,204.2,0.977,0.020,0.003,135.6,0.476,0.5402
fig8,reactive,periodic,230,0.0,170.8,1858.8320,3898.9569,3586.0116,0.9840,19.4,212.2,0.991,0.008,0.001,136.3,0.478,0.4288
fig8,fixed20,periodic,230,0.0,170.9,9560.2640,20385.6743,18567.1622,0.9990,7.9,224.7,0.000,0.000,0.000,136.4,0.479,0.4901
fig8,v3,periodic,230,0.2,175.7,17123.0592,40185.3629,35864.7985,0.9690,18.6,213.8,0.977,0.020,0.003,140.2,0.492,0.8612
