task,method,pattern,seed,mm,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
circle,v3,periodic,238,0.0,387.6,0.2491,1.5757,0.0433,0.0400,4.1,88.4,0.990,0.006,0.004,309.4,1.086,0.0008
circle,reactive,periodic,238,0.0,387.6,4819.0841,11018.9627,9876.8117,0.9540,23.4,470.4,0.994,0.006,0.000,309.4,1.086,0.5500
circle,fixed20,periodic,238,0.0,370.5,5412.6304,13053.7363,11568.1416,0.9990,8.1,473.4,0.000,0.000,0.000,295.7,1.038,0.4056
circle,v3,periodic,238,0.2,368.8,13385.1095,32997.0902,29108.8611,0.9140,21.1,447.6,0.991,0.005,0.004,294.4,1.033,0.7494
circle,reactive,periodic,238,0.2,393.2,17888.5095,41619.1973,37221.4544,0.9720,24.1,478.0,0.996,0.004,0.000,313.8,1.101,0.7034
circle,fixed20,periodic,238,0.2,353.8,3659.1512,8172.3633,7376.2326,1.0000,7.9,465.4,0.000,0.000,0.000,282.4,0.991,0.0000
fig8,v3,periodic,238,0.0,378.9,9016.0003,18973.1829,17455.9082,0.9990,23.3,460.9,0.990,0.006,0.004,302.5,1.061,0.4612
fig8,reactive,periodic,238,0.0,329.2,5276.1186,11930.1392,10736.2037,0.9780,20.4,401.6,0.997,0.003,0.000,262.8,0.922,0.5027
fig8,fixed20,periodic,238,0.0,352.5,9016.0003,18973.1829,17455.9082,0.9990,7.8,462.5,0.000,0.000,0.000,281.3,0.987,0.4612
fig8,v3,periodic,238,0.2,357.1,14097.7611,34344.7044,30377.1751,0.9180,20.9,434.5,0.991,0.005,0.004,285.0,1.000,0.8417
fig8,reactive,periodic,238,0.2,351.7,18434.4599,42360.1800,37968.9291,0.9890,21.9,429.1,0.998,0.002,0.000,280.7,0.985,0.7692
fig8,fixed20,periodic,238,0.2,374.5,3659.1511,8172.3632,7376.2325,1.0000,8.0,473.0,0.000,0.000,0.000,298.9,1.049,0.0000
hover,v3,burst,238,0.0,387.4,0.0039,0.0594,0.0000,0.0290,4.0,169.2,0.180,0.816,0.004,303.5,1.065,0.0000
hover,reactive,burst,238,0.0,396.3,0.0042,0.0608,0.0000,0.0330,4.0,241.7,0.176,0.014,0.810,310.5,1.090,0.0000
hover,fixed20,burst,238,0.0,374.0,0.0074,0.0798,0.0012,0.1810,4.0,243.8,0.000,0.000,0.000,293.1,1.028,0.0000
hover,v3,burst,238,0.2,387.9,9105.4593,22570.3944,19946.4176,0.8340,19.4,460.3,0.812,0.184,0.004,303.9,1.066,0.1809
hover,reactive,burst,238,0.2,375.7,2.3119,10.9940,6.5739,0.2130,6.3,295.2,0.272,0.034,0.694,294.3,1.033,0.0282
hover,fixed20,burst,238,0.2,392.9,0.1885,0.2196,0.1892,0.1810,5.0,298.1,0.000,0.000,0.000,307.9,1.080,0.0000
step,v3,burst,238,0.0,333.3,3.1837,17.3441,8.7974,0.2020,5.4,90.3,0.815,0.181,0.004,261.1,0.916,0.0316
step,reactive,burst,238,0.0,361.7,0.0158,0.2803,0.0006,0.0630,4.0,239.5,0.176,0.014,0.810,283.4,0.994,0.0000
step,fixed20,burst,238,0.0,366.7,0.0169,0.2803,0.0035,0.1810,4.0,241.2,0.000,0.000,0.000,287.3,1.008,0.0000
step,v3,burst,238,0.2,379.6,0.1893,0.3653,0.1909,0.1820,5.0,208.3,0.180,0.816,0.004,297.4,1.044,0.0000
step,reactive,burst,238,0.2,382.6,0.1884,0.3648,0.1890,0.1830,5.0,298.5,0.176,0.014,0.810,299.8,1.052,0.0000
step,fixed20,burst,238,0.2,377.3,0.1886,0.3648,0.1899,0.1810,5.0,296.8,0.000,0.000,0.000,295.7,1.037,0.0000
circle,v3,burst,238,0.0,397.4,0.1472,1.5757,0.0426,0.0200,4.1,86.2,0.990,0.006,0.004,311.4,1.093,0.0026
circle,reactive,burst,238,0.0,333.3,7156.6805,14336.3834,13475.2169,0.9590,19.8,399.9,0.990,0.010,0.000,261.1,0.916,0.5688
circle,fixed20,burst,238,0.0,399.1,9223.1456,20430.4043,18426.0231,0.9990,8.4,484.9,0.000,0.000,0.000,312.7,1.097,0.5241
circle,v3,burst,238,0.2,380.1,6689.9972,17168.1930,14978.0453,0.8120,19.7,450.8,0.991,0.005,0.004,297.8,1.045,0.4591
circle,reactive,burst,238,0.2,394.8,9959.2912,22264.3324,20164.2480,0.9280,23.4,470.5,0.964,0.033,0.003,309.3,1.085,0.4771
circle,fixed20,burst,238,0.2,389.7,8782.8694,17983.6814,16381.0655,0.9990,8.2,476.4,0.000,0.000,0.000,305.4,1.071,0.5162
fig8,v3,burst,238,0.0,369.5,9276.6318,22299.4160,19795.6543,0.8750,19.8,441.3,0.878,0.118,0.004,289.5,1.016,0.1504
fig8,reactive,burst,238,0.0,380.3,19232.8802,44163.6254,39612.0132,0.9800,23.1,455.0,0.983,0.011,0.006,298.0,1.045,0.9557
fig8,fixed20,burst,238,0.0,364.1,2494.9421,6227.4255,5469.3222,0.8350,7.1,466.2,0.000,0.000,0.000,285.3,1.001,0.1252
fig8,v3,burst,238,0.2,393.9,3152.8103,6218.0702,5467.4774,0.7810,20.2,467.2,0.880,0.116,0.004,308.6,1.083,0.1813
fig8,reactive,burst,238,0.2,391.4,15546.0494,37135.7752,33010.1041,0.9240,22.8,466.8,0.978,0.019,0.003,306.6,1.076,0.8783
fig8,fixed20,burst,238,0.2,382.4,1530.5791,3264.5301,2935.9553,0.8860,7.6,471.8,0.000,0.000,0.000,299.6,1.051,0.2922
hover,v3,random,239,0.0,331.5,0.0041,0.0582,0.0001,0.0140,4.0,170.7,0.185,0.804,0.011,309.9,1.087,0.0000
hover,reactive,random,239,0.0,271.3,3833.1598,8421.1618,7626.6867,0.9860,25.3,495.7,0.984,0.011,0.005,253.6,0.890,0.4705
hover,fixed20,random,239,0.0,319.8,9564.2580,20828.0318,18853.7117,0.9810,10.3,592.9,0.000,0.000,0.000,299.0,1.049,0.4012
hover,v3,random,239,0.2,306.5,0.1891,0.2046,0.1903,0.0330,5.0,204.2,0.403,0.593,0.004,286.5,1.005,0.0000
hover,reactive,random,239,0.2,319.4,14346.2767,34660.3271,30697.1338,0.9770,28.8,580.9,0.983,0.010,0.007,298.6,1.048,0.8614
hover,fixed20,random,239,0.2,306.2,18501.7363,41630.6968,37522.9609,0.9910,10.2,579.1,0.000,0.000,0.000,286.2,1.004,0.2848
step,v3,random,239,0.0,332.3,0.0155,0.2754,0.0006,0.0120,4.0,170.0,0.159,0.826,0.015,310.6,1.090,0.0000
step,reactive,random,239,0.0,326.1,17421.9863,40568.0993,36265.3729,0.9790,30.1,593.9,0.979,0.011,0.010,304.8,1.070,0.8403
step,fixed20,random,239,0.0,321.1,4335.2709,9788.5607,8807.6076,0.9730,10.0,593.3,0.000,0.000,0.000,300.1,1.053,0.1671
step,v3,random,239,0.2,312.6,0.1898,0.3730,0.1902,0.0320,5.0,124.5,0.534,0.461,0.005,292.2,1.025,0.0000
step,reactive,random,239,0.2,331.2,10766.1060,27391.3224,23914.8875,0.9660,29.7,603.0,0.982,0.011,0.007,309.6,1.086,0.8107
step,fixed20,random,239,0.2,319.9,14140.8598,27266.6982,25617.0902,0.9960,10.4,593.2,0.000,0.000,0.000,299.0,1.049,0.4248
circle,v3,random,239,0.0,311.8,0.1686,1.6270,0.0428,0.0180,4.1,85.4,0.989,0.007,0.004,291.5,1.023,0.0026
circle,reactive,random,239,0.0,283.2,19385.0561,44306.5499,39783.8790,0.9950,26.7,517.7,0.999,0.001,0.000,264.7,0.929,0.9204
circle,fixed20,random,239,0.0,327.8,8787.1489,18378.7154,16849.2627,0.9990,10.7,615.2,0.000,0.000,0.000,306.5,1.075,0.5581
circle,v3,random,239,0.2,323.6,9549.4466,23760.6036,20730.3508,0.9960,30.0,588.6,0.989,0.007,0.004,302.5,1.061,0.7849
