# recorded=2026-09-18T17:21:45+0800
# uname=Linux iZ0jl59glej0v8rv680qyqZ 6.8.0-137-generic #137-Ubuntu SMP PREEMPT_DYNAMIC Fri Jul 17 20:28:23 UTC 2026 x86_64 x86_64
# python=3.11.15 cpu_count=4
# workers=15 period_s=0.1 beats=1050
beat,wall_ms,cpu_ms,duty,units
772,104.335,26.364,0.25269,17.688
773,101.851,25.208,0.24750,17.325
774,100.000,26.217,0.26217,18.352
775,100.000,24.902,0.24902,17.431
776,100.000,25.497,0.25497,17.848
777,100.000,24.634,0.24634,17.244
778,100.820,23.576,0.23384,16.369
779,104.993,26.148,0.24905,17.433
780,106.000,26.632,0.25125,17.588
781,104.000,26.155,0.25149,17.604
782,103.000,25.802,0.25051,17.536
783,106.000,25.695,0.24241,16.968
784,100.000,27.235,0.27235,19.064
785,100.008,24.217,0.24215,16.951
786,100.000,23.635,0.23635,16.544
787,102.993,25.726,0.24978,17.485
788,107.000,26.648,0.24904,17.433
789,100.000,25.464,0.25464,17.825
790,109.000,27.466,0.25198,17.638
791,106.000,26.324,0.24834,17.384
792,106.000,25.827,0.24365,17.056
793,103.004,25.954,0.25197,17.638
794,102.996,25.750,0.25001,17.501
795,104.000,26.072,0.25069,17.548
796,103.000,25.675,0.24927,17.449
797,105.000,26.293,0.25041,17.529
798,103.000,25.563,0.24818,17.373
799,106.001,26.775,0.25259,17.681
800,100.000,24.613,0.24613,17.229
801,105.999,26.302,0.24814,17.370
802,100.000,26.935,0.26935,18.854
803,102.000,23.655,0.23191,16.234
804,107.001,27.232,0.25450,17.815
805,102.112,25.616,0.25086,17.560
806,101.887,25.228,0.24761,17.333
807,103.222,24.833,0.24058,16.841
808,108.780,28.318,0.26032,18.223
809,100.993,24.746,0.24502,17.152
810,107.006,26.582,0.24842,17.389
811,105.000,26.364,0.25109,17.576
812,110.001,27.073,0.24612,17.228
813,103.000,26.746,0.25967,18.177
814,100.000,23.958,0.23957,16.770
815,109.000,28.215,0.25885,18.120
816,109.000,26.533,0.24342,17.039
817,101.001,25.323,0.25073,17.551
818,101.455,25.521,0.25155,17.609
819,101.544,24.975,0.24596,17.217
820,100.001,25.831,0.25831,18.082
821,103.001,25.121,0.24389,17.072
822,103.006,25.640,0.24892,17.424
823,106.993,26.344,0.24622,17.235
824,100.001,24.979,0.24979,17.485
825,100.000,25.333,0.25333,17.733
826,100.000,25.283,0.25283,17.698
827,104.000,25.431,0.24453,17.117
828,105.000,26.152,0.24907,17.435
829,102.673,26.349,0.25663,17.964
830,103.326,25.371,0.24554,17.188
831,100.001,25.617,0.25617,17.932
832,100.001,23.985,0.23985,16.789
833,100.000,27.046,0.27046,18.932
834,100.000,22.994,0.22994,16.096
835,109.999,28.080,0.25528,17.869
836,101.000,24.657,0.24413,17.089
837,110.000,27.565,0.25059,17.541
838,105.608,26.465,0.25060,17.542
839,102.392,25.817,0.25214,17.650
840,100.000,26.138,0.26138,18.297
841,100.002,24.667,0.24666,17.266
842,108.998,25.527,0.23420,16.394
843,100.000,26.646,0.26646,18.652
844,100.999,24.230,0.23991,16.793
845,107.001,26.670,0.24925,17.447
846,102.000,25.604,0.25102,17.571
847,105.468,25.960,0.24614,17.230
848,103.531,26.096,0.25205,17.644
849,100.999,25.380,0.25129,17.590
850,106.001,26.088,0.24611,17.228
851,106.389,26.921,0.25304,17.713
852,100.110,25.111,0.25083,17.558
853,110.499,26.707,0.24170,16.919
854,103.008,25.854,0.25099,17.569
855,100.000,25.251,0.25251,17.676
856,103.993,26.304,0.25294,17.706
857,100.454,25.832,0.25715,18.001
858,103.546,24.784,0.23935,16.755
859,102.001,26.254,0.25739,18.017
860,106.999,26.766,0.25015,17.510
861,108.000,25.719,0.23814,16.670
862,103.000,26.440,0.25670,17.969
863,102.999,25.974,0.25218,17.652
864,103.001,25.146,0.24414,17.089
865,100.000,26.643,0.26643,18.650
866,100.000,24.271,0.24271,16.990
867,100.000,24.480,0.24480,17.136
868,100.000,24.726,0.24726,17.308
869,101.001,25.144,0.24895,17.426
870,100.000,24.741,0.24741,17.319
871,104.999,26.981,0.25696,17.987
872,105.279,26.314,0.24995,17.496
873,100.056,25.399,0.25385,17.769
874,100.000,24.436,0.24436,17.105
875,100.000,26.162,0.26162,18.313
876,107.665,25.688,0.23859,16.701
877,100.000,24.531,0.24531,17.171
878,100.000,26.296,0.26296,18.407
879,105.000,24.118,0.22970,16.079
880,103.004,26.668,0.25891,18.123
881,106.996,26.351,0.24628,17.240
882,100.736,25.752,0.25564,17.895
883,100.110,24.451,0.24424,17.097
884,104.154,25.717,0.24691,17.284
885,100.000,26.329,0.26329,18.430
886,102.000,24.279,0.23802,16.662
887,103.000,25.465,0.24724,17.307
888,102.000,25.897,0.25389,17.772
