traj,method,pattern,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,time_drift,gearL,gearM,gearH,calib_ms,budget_scale
fig8,v3,burst,434,68.9,0.0286,0.1109,0.0547,0.0000,7.7,46.8,1.0012,0.210,0.000,0.790,29.5,1.179
fig8,fixed20,burst,434,68.7,0.0502,0.4051,0.0858,0.2100,7.7,46.8,1.0004,0.000,0.000,0.000,29.4,1.175
circle,v3,periodic,435,69.5,0.1680,1.9092,0.0455,0.0000,7.8,46.6,0.9927,0.200,0.000,0.800,29.5,1.178
circle,fixed20,periodic,435,69.5,0.3519,2.1570,0.0873,0.2000,7.9,46.5,1.0002,0.000,0.000,0.000,29.4,1.177
circle,v3,burst,435,65.0,0.1679,1.9092,0.0446,0.0000,7.7,46.5,1.0099,0.270,0.000,0.730,29.5,1.179
circle,fixed20,burst,435,65.0,0.2052,1.9092,0.3662,0.2700,8.0,46.9,0.9989,0.000,0.000,0.000,29.5,1.179
fig8,v3,periodic,435,69.5,0.0248,0.0791,0.0421,0.0000,7.7,46.8,0.9997,0.200,0.000,0.800,29.4,1.178
fig8,fixed20,periodic,435,69.8,0.1130,0.9495,0.1038,0.2000,7.8,46.9,1.0000,0.000,0.000,0.000,29.6,1.183
fig8,v3,burst,435,65.0,0.0291,0.1350,0.0528,0.0000,7.7,46.3,1.0038,0.270,0.000,0.730,29.5,1.179
fig8,fixed20,burst,435,65.1,0.0420,0.1994,0.0930,0.2700,7.7,46.7,0.9999,0.000,0.000,0.000,29.5,1.181
circle,v3,periodic,436,69.6,0.1685,1.9103,0.0445,0.0000,7.8,46.5,1.0033,0.200,0.000,0.800,29.5,1.179
circle,fixed20,periodic,436,69.6,0.3533,2.1743,0.1102,0.2000,8.0,47.0,0.9994,0.000,0.000,0.000,29.5,1.179
circle,v3,burst,436,71.0,0.1685,1.9103,0.0426,0.0000,7.8,46.9,1.0001,0.180,0.000,0.820,29.5,1.182
circle,fixed20,burst,436,70.9,0.4230,2.2274,0.4692,0.1800,8.0,47.0,1.0002,0.000,0.000,0.000,29.5,1.180
fig8,v3,periodic,436,69.4,0.0246,0.0765,0.0465,0.0000,7.7,46.8,0.9978,0.200,0.000,0.800,29.4,1.176
fig8,fixed20,periodic,436,69.9,0.1133,0.9666,0.0749,0.2000,7.8,46.9,0.9998,0.000,0.000,0.000,29.6,1.184
fig8,v3,burst,436,71.0,0.0231,0.0765,0.0372,0.0000,7.7,46.5,1.0074,0.180,0.000,0.820,29.5,1.181
fig8,fixed20,burst,436,70.9,0.2058,1.4466,0.1811,0.1800,7.8,46.8,0.9985,0.000,0.000,0.000,29.5,1.180
circle,v3,periodic,437,69.7,0.1699,1.9060,0.0450,0.0000,7.8,46.5,1.0034,0.200,0.000,0.800,29.5,1.181
circle,fixed20,periodic,437,69.1,0.3556,2.1649,0.0992,0.2000,7.9,47.0,0.9996,0.000,0.000,0.000,29.3,1.172
circle,v3,burst,437,63.3,0.1696,1.9060,0.0436,0.0000,7.7,46.5,0.9912,0.300,0.000,0.700,29.6,1.184
circle,fixed20,burst,437,63.3,0.1724,1.9060,0.1084,0.3000,8.0,46.6,1.0001,0.000,0.000,0.000,29.6,1.183
fig8,v3,periodic,437,69.4,0.0248,0.0819,0.0440,0.0000,7.7,46.6,1.0083,0.200,0.000,0.800,29.4,1.175
fig8,fixed20,periodic,437,69.8,0.1162,0.9561,0.0995,0.2000,7.8,46.6,0.9976,0.000,0.000,0.000,29.6,1.183
fig8,v3,burst,437,62.9,0.0314,0.1323,0.0639,0.0000,7.6,46.6,1.0042,0.300,0.000,0.700,29.4,1.176
fig8,fixed20,burst,437,63.2,0.0334,0.1580,0.0686,0.3000,7.7,46.5,0.9990,0.000,0.000,0.000,29.5,1.181
circle,v3,periodic,438,69.6,0.1691,1.9042,0.0452,0.0000,7.8,46.9,0.9980,0.200,0.000,0.800,29.5,1.180
circle,fixed20,periodic,438,69.5,0.3554,2.1878,0.0946,0.2000,7.9,46.6,0.9992,0.000,0.000,0.000,29.5,1.178
circle,v3,burst,438,73.3,0.1684,1.9042,0.0431,0.0000,7.8,46.5,0.9987,0.150,0.000,0.850,29.7,1.187
circle,fixed20,burst,438,72.7,0.1707,1.9042,0.0965,0.1500,8.0,46.6,1.0002,0.000,0.000,0.000,29.4,1.177
fig8,v3,periodic,438,69.5,0.0246,0.0854,0.0443,0.0000,7.7,46.4,0.9991,0.200,0.000,0.800,29.5,1.179
fig8,fixed20,periodic,438,69.8,0.1165,0.9800,0.1005,0.2000,7.8,46.8,1.0079,0.000,0.000,0.000,29.6,1.182
fig8,v3,burst,438,73.0,0.0265,0.1429,0.0381,0.0000,7.7,46.6,0.9956,0.150,0.000,0.850,29.6,1.182
fig8,fixed20,burst,438,72.9,0.0447,0.2945,0.0970,0.1500,7.8,46.5,1.0003,0.000,0.000,0.000,29.5,1.181
circle,v3,periodic,439,69.9,0.1698,1.9162,0.0449,0.0000,7.8,46.9,1.0008,0.200,0.000,0.800,29.6,1.184
circle,fixed20,periodic,439,69.6,0.3552,2.1899,0.0965,0.2000,8.0,46.6,1.0002,0.000,0.000,0.000,29.5,1.179
circle,v3,burst,439,78.8,0.1690,1.9162,0.0404,0.0000,7.9,47.0,0.9952,0.060,0.000,0.940,29.6,1.182
circle,fixed20,burst,439,79.1,0.1701,1.9162,0.0614,0.0600,8.0,46.7,1.0069,0.000,0.000,0.000,29.7,1.186
fig8,v3,periodic,439,69.8,0.0246,0.0794,0.0454,0.0000,7.7,46.6,0.9916,0.200,0.000,0.800,29.6,1.183
fig8,fixed20,periodic,439,70.0,0.1174,0.9821,0.1064,0.2000,7.8,46.7,1.0082,0.000,0.000,0.000,29.6,1.186
fig8,v3,burst,439,79.2,0.0231,0.0983,0.0370,0.0000,7.7,46.6,0.9948,0.060,0.000,0.940,29.7,1.187
fig8,fixed20,burst,439,78.6,0.0374,0.3127,0.0497,0.0600,7.7,46.9,1.0055,0.000,0.000,0.000,29.5,1.179
circle,v3,periodic,440,69.6,0.1696,1.9149,0.0457,0.0000,7.8,46.5,0.9966,0.200,0.000,0.800,29.5,1.180
circle,fixed20,periodic,440,69.9,0.3549,2.1948,0.0852,0.2000,8.0,47.0,1.0007,0.000,0.000,0.000,29.6,1.184
circle,v3,burst,440,68.8,0.1691,1.9149,0.0428,0.0000,7.8,46.9,0.9965,0.210,0.000,0.790,29.4,1.178
circle,fixed20,burst,440,69.3,0.1694,1.9149,0.0551,0.2100,7.9,46.5,0.9997,0.000,0.000,0.000,29.6,1.185
fig8,v3,periodic,440,69.8,0.0248,0.0808,0.0441,0.0000,7.7,46.5,1.0015,0.200,0.000,0.800,29.6,1.182
fig8,fixed20,periodic,440,69.5,0.1157,0.9871,0.0772,0.2000,7.7,46.6,1.0086,0.000,0.000,0.000,29.5,1.178
fig8,v3,burst,440,69.4,0.0235,0.0632,0.0402,0.0000,7.7,46.8,0.9996,0.210,0.000,0.790,29.7,1.187
fig8,fixed20,burst,440,69.0,0.0456,0.2141,0.1009,0.2100,7.7,46.9,1.0000,0.000,0.000,0.000,29.5,1.181
circle,v3,periodic,441,69.5,0.1698,1.9171,0.0450,0.0000,7.8,46.6,0.9964,0.200,0.000,0.800,29.4,1.178
circle,fixed20,periodic,441,69.9,0.3555,2.1784,0.0932,0.2000,8.0,46.9,1.0016,0.000,0.000,0.000,29.6,1.185
circle,v3,burst,441,76.7,0.1690,1.9171,0.0410,0.0000,7.9,46.9,0.9986,0.090,0.000,0.910,29.5,1.180
circle,fixed20,burst,441,77.0,0.1694,1.9171,0.0502,0.0900,8.0,46.6,1.0002,0.000,0.000,0.000,29.6,1.184
fig8,v3,periodic,441,69.7,0.0249,0.0831,0.0438,0.0000,7.7,46.9,0.9986,0.200,0.000,0.800,29.6,1.182
fig8,fixed20,periodic,441,69.7,0.1159,0.9708,0.0851,0.2000,7.7,46.9,1.0004,0.000,0.000,0.000,29.5,1.181
fig8,v3,burst,441,76.6,0.0246,0.1152,0.0380,0.0000,7.7,46.6,0.9907,0.090,0.000,0.910,29.4,1.178
fig8,fixed20,burst,441,76.9,0.0419,0.3020,0.0636,0.0900,7.7,46.7,1.0083,0.000,0.000,0.000,29.6,1.182
circle,v3,periodic,442,69.9,0.1689,1.9156,0.0455,0.0000,7.8,46.9,0.9995,0.200,0.000,0.800,29.6,1.185
circle,fixed20,periodic,442,69.6,0.3519,2.1542,0.1008,0.2000,8.0,47.0,0.9995,0.000,0.000,0.000,29.5,1.179
circle,v3,burst,442,67.3,0.1685,1.9156,0.0439,0.0000,7.7,46.9,1.0006,0.240,0.000,0.760,29.6,1.185
circle,fixed20,burst,442,67.0,0.1703,1.9156,0.0938,0.2400,8.0,47.1,0.9990,0.000,0.000,0.000,29.5,1.179
fig8,v3,periodic,442,69.7,0.0248,0.0743,0.0460,0.0000,7.7,46.5,1.0003,0.200,0.000,0.800,29.5,1.181
fig8,fixed20,periodic,442,69.8,0.1129,0.9466,0.1074,0.2000,7.8,46.9,0.9930,0.000,0.000,0.000,29.6,1.183
fig8,v3,burst,442,67.2,0.0296,0.1535,0.0521,0.0000,7.7,46.6,1.0054,0.240,0.000,0.760,29.6,1.183
fig8,fixed20,burst,442,67.3,0.0449,0.2515,0.0901,0.2400,7.7,46.7,0.9912,0.000,0.000,0.000,29.6,1.185
circle,v3,periodic,443,69.9,0.1684,1.9024,0.0444,0.0000,7.8,46.8,1.0072,0.200,0.000,0.800,29.6,1.185
circle,fixed20,periodic,443,69.8,0.3547,2.1930,0.1004,0.2000,7.9,46.7,0.9948,0.000,0.000,0.000,29.6,1.182
circle,v3,burst,443,71.1,0.1678,1.9024,0.0428,0.0000,7.8,46.6,1.0001,0.180,0.000,0.820,29.6,1.182
circle,fixed20,burst,443,70.9,0.1683,1.9024,0.0657,0.1800,7.9,46.6,1.0005,0.000,0.000,0.000,29.5,1.180
