task,method,blen,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
circle,fixed20,30,334,184.7,13382.9183,25889.1968,24691.6189,0.9990,7.9,241.3,0.000,0.000,0.000,144.7,0.508,0.5158
fig8,v3,30,334,181.5,8723.9781,16496.9955,16093.1823,0.8670,17.3,218.8,0.994,0.003,0.003,142.2,0.499,0.2577
fig8,fixed20,30,334,179.2,11258.7410,25236.4468,22759.5791,0.9960,7.7,233.7,0.000,0.000,0.000,140.4,0.493,0.1759
hover,v3,5,335,207.6,0.0020,0.0322,0.0000,0.0230,4.0,49.0,0.994,0.003,0.003,141.9,0.498,0.0000
hover,fixed20,5,335,206.6,0.0020,0.0322,0.0000,0.0210,4.0,124.5,0.000,0.000,0.000,141.2,0.495,0.0000
step,v3,5,335,205.7,0.0150,0.2746,0.0002,0.0230,4.0,48.9,0.994,0.003,0.003,140.6,0.493,0.0000
step,fixed20,5,335,210.7,0.0154,0.2803,0.0003,0.0210,4.0,125.3,0.000,0.000,0.000,144.0,0.505,0.0000
circle,v3,5,335,208.2,9418.1439,21344.8980,19204.9930,0.9840,19.8,220.3,0.993,0.004,0.003,142.3,0.499,0.6109
circle,fixed20,5,335,206.0,4686.5293,10612.9799,9349.2745,0.9990,7.8,235.1,0.000,0.000,0.000,140.8,0.494,0.4304
fig8,v3,5,335,206.6,0.0473,0.5272,0.0484,0.0230,4.0,48.7,0.993,0.004,0.003,141.2,0.495,0.0000
fig8,fixed20,5,335,210.0,0.0499,0.5272,0.0540,0.0220,4.0,125.0,0.000,0.000,0.000,143.5,0.504,0.0000
hover,v3,10,335,205.0,0.0020,0.0322,0.0000,0.0430,4.0,49.1,0.994,0.003,0.003,142.4,0.500,0.0000
hover,fixed20,10,335,202.6,0.0020,0.0322,0.0000,0.0410,4.0,125.0,0.000,0.000,0.000,140.8,0.494,0.0000
step,v3,10,335,202.8,0.0150,0.2746,0.0002,0.0430,4.0,49.0,0.994,0.003,0.003,140.8,0.494,0.0000
step,fixed20,10,335,204.8,0.0154,0.2803,0.0003,0.0410,4.0,124.9,0.000,0.000,0.000,142.3,0.499,0.0000
circle,v3,10,335,201.3,10202.4101,23100.2411,20788.8049,0.9850,18.9,212.2,0.993,0.004,0.003,139.8,0.490,0.6092
circle,fixed20,10,335,204.1,4385.6640,9876.7246,9073.0748,0.9990,7.8,236.5,0.000,0.000,0.000,141.7,0.497,0.4505
fig8,v3,10,335,206.3,0.0473,0.5272,0.0484,0.0430,4.0,50.7,0.993,0.004,0.003,143.3,0.503,0.0000
fig8,fixed20,10,335,210.5,0.0499,0.5272,0.0540,0.0420,4.0,127.8,0.000,0.000,0.000,146.2,0.513,0.0000
hover,v3,15,335,202.7,0.0020,0.0322,0.0000,0.0630,4.0,50.5,0.994,0.003,0.003,143.1,0.502,0.0000
hover,fixed20,15,335,209.1,0.0020,0.0322,0.0000,0.0610,4.0,127.2,0.000,0.000,0.000,147.6,0.518,0.0000
step,v3,15,335,198.5,0.0150,0.2746,0.0002,0.0630,4.0,48.8,0.994,0.003,0.003,140.2,0.492,0.0000
step,fixed20,15,335,199.9,0.0154,0.2803,0.0003,0.0610,4.0,125.0,0.000,0.000,0.000,141.1,0.495,0.0000
circle,v3,15,335,201.1,9418.1439,21344.8980,19204.9930,0.9840,19.8,219.9,0.993,0.004,0.003,142.0,0.498,0.6109
circle,fixed20,15,335,200.2,4385.6640,9876.7246,9073.0748,0.9990,7.9,235.7,0.000,0.000,0.000,141.3,0.496,0.4505
fig8,v3,15,335,200.3,0.0473,0.5272,0.0484,0.0630,4.0,48.9,0.993,0.004,0.003,141.4,0.496,0.0000
fig8,fixed20,15,335,204.3,0.0498,0.5272,0.0540,0.0620,4.0,127.7,0.000,0.000,0.000,144.2,0.506,0.0000
hover,v3,20,335,202.6,0.0020,0.0322,0.0000,0.0830,4.0,50.6,0.994,0.003,0.003,145.4,0.510,0.0000
hover,fixed20,20,335,201.6,0.0020,0.0322,0.0000,0.0810,4.0,127.3,0.000,0.000,0.000,144.7,0.508,0.0000
step,v3,20,335,201.5,0.0150,0.2746,0.0002,0.0830,4.0,50.2,0.994,0.003,0.003,144.7,0.508,0.0000
step,fixed20,20,335,196.9,0.0154,0.2803,0.0003,0.0810,4.0,127.1,0.000,0.000,0.000,141.3,0.496,0.0000
circle,v3,20,335,200.2,7204.6606,16112.7837,14538.5199,0.9940,19.1,217.7,0.993,0.004,0.003,143.7,0.504,0.6621
circle,fixed20,20,335,194.8,4385.6640,9876.7246,9073.0748,0.9990,7.7,233.8,0.000,0.000,0.000,139.8,0.491,0.4505
fig8,v3,20,335,197.5,0.0473,0.5272,0.0484,0.0830,4.0,49.4,0.993,0.004,0.003,141.8,0.497,0.0000
fig8,fixed20,20,335,195.0,9420.1374,21043.3312,19036.5207,0.9960,7.2,215.0,0.000,0.000,0.000,140.0,0.491,0.1588
hover,v3,30,335,194.2,0.0020,0.0322,0.0000,0.1230,4.0,50.7,0.994,0.003,0.003,144.3,0.506,0.0000
hover,fixed20,30,335,195.8,0.0020,0.0322,0.0000,0.1210,4.0,127.7,0.000,0.000,0.000,145.4,0.510,0.0000
step,v3,30,335,195.4,0.0150,0.2746,0.0002,0.1230,4.0,50.6,0.994,0.003,0.003,145.2,0.509,0.0000
step,fixed20,30,335,192.8,0.0154,0.2803,0.0003,0.1210,4.0,127.3,0.000,0.000,0.000,143.2,0.503,0.0000
circle,v3,30,335,192.4,7204.6606,16112.7837,14538.5199,0.9940,18.9,217.2,0.993,0.004,0.003,142.9,0.502,0.6621
circle,fixed20,30,335,194.3,4385.6640,9876.7246,9073.0748,0.9990,7.9,240.7,0.000,0.000,0.000,144.3,0.506,0.4505
fig8,v3,30,335,194.8,0.0476,0.5272,0.0486,0.1230,4.0,50.9,0.993,0.004,0.003,144.7,0.508,0.0000
fig8,fixed20,30,335,197.5,0.0501,0.5272,0.0542,0.1220,4.1,127.3,0.000,0.000,0.000,146.7,0.515,0.0000
hover,v3,5,336,208.9,0.0331,0.4074,0.0026,0.0230,4.1,50.7,0.994,0.003,0.003,142.8,0.501,0.0000
hover,fixed20,5,336,210.7,0.0083,0.1221,0.0003,0.0210,4.0,127.0,0.000,0.000,0.000,144.0,0.505,0.0000
step,v3,5,336,215.1,0.0362,0.4074,0.0057,0.0230,4.1,50.5,0.994,0.003,0.003,147.0,0.516,0.0000
step,fixed20,5,336,211.4,0.0174,0.2801,0.0020,0.0210,4.0,127.3,0.000,0.000,0.000,144.5,0.507,0.0000
circle,v3,5,336,210.0,8498.8361,18858.3333,17179.0882,0.9920,18.9,218.2,0.993,0.004,0.003,143.5,0.504,0.5450
circle,fixed20,5,336,207.5,17538.8969,37740.8301,34758.6270,0.9990,7.9,234.9,0.000,0.000,0.000,141.8,0.498,0.5137
fig8,v3,5,336,208.4,0.1040,1.2365,0.0486,0.0230,4.1,49.2,0.993,0.004,0.003,142.4,0.500,0.0019
fig8,fixed20,5,336,208.7,5373.9191,12118.2450,10913.7658,0.9860,7.6,239.2,0.000,0.000,0.000,142.6,0.500,0.1428
hover,v3,10,336,208.7,0.3815,3.7451,0.0057,0.0440,4.3,50.3,0.994,0.003,0.003,145.0,0.509,0.0037
hover,fixed20,10,336,210.3,4528.6240,10156.3379,9160.3787,0.9860,7.9,241.9,0.000,0.000,0.000,146.1,0.512,0.1637
step,v3,10,336,209.8,0.3818,3.7451,0.0057,0.0440,4.3,51.1,0.994,0.003,0.003,145.7,0.511,0.0037
step,fixed20,10,336,213.1,4528.9797,10156.8203,9160.8606,0.9860,7.9,242.7,0.000,0.000,0.000,148.0,0.519,0.1637
circle,v3,10,336,207.4,8498.8361,18858.3333,17179.0882,0.9920,19.0,220.4,0.993,0.004,0.003,144.0,0.505,0.5450
circle,fixed20,10,336,207.6,17538.8969,37740.8301,34758.6270,0.9990,7.9,240.2,0.000,0.000,0.000,144.2,0.506,0.5137
fig8,v3,10,336,205.7,0.1919,2.0990,0.0486,0.0430,4.2,49.0,0.993,0.004,0.003,142.9,0.501,0.0020
fig8,fixed20,10,336,203.7,5373.9191,12118.2450,10913.7658,0.9860,7.8,236.4,0.000,0.000,0.000,141.5,0.496,0.1428
hover,v3,15,336,199.0,0.4494,4.2626,0.0059,0.0640,4.3,48.7,0.994,0.003,0.003,140.5,0.493,0.0045
hover,fixed20,15,336,203.2,4528.6240,10156.3379,9160.3787,0.9860,7.8,239.7,0.000,0.000,0.000,143.5,0.503,0.1637
step,v3,15,336,200.6,0.4495,4.2626,0.0057,0.0640,4.3,50.2,0.994,0.003,0.003,141.6,0.497,0.0038
step,fixed20,15,336,199.1,4528.9797,10156.8203,9160.8606,0.9860,7.7,235.2,0.000,0.000,0.000,140.6,0.493,0.1637
circle,v3,15,336,198.8,8498.8361,18858.3333,17179.0882,0.9920,19.1,213.2,0.993,0.004,0.003,140.4,0.493,0.5450
circle,fixed20,15,336,203.7,17538.8969,37740.8301,34758.6270,0.9990,8.0,236.0,0.000,0.000,0.000,143.8,0.505,0.5137
fig8,v3,15,336,201.9,2558.5914,5576.9426,5053.1921,0.9800,19.5,220.9,0.993,0.004,0.003,142.6,0.500,0.2785
fig8,fixed20,15,336,202.0,5373.9191,12118.2450,10913.7658,0.9860,7.9,236.6,0.000,0.000,0.000,142.6,0.500,0.1428
hover,v3,20,336,199.5,4248.6823,9652.1631,8678.8017,0.9860,18.6,218.1,0.994,0.003,0.003,143.2,0.503,0.4814
hover,fixed20,20,336,198.8,4528.6240,10156.3379,9160.3787,0.9860,7.9,236.5,0.000,0.000,0.000,142.7,0.501,0.1637
step,v3,20,336,194.7,4249.0451,9652.6595,8679.2979,0.9860,19.0,212.5,0.994,0.003,0.003,139.8,0.490,0.4814
step,fixed20,20,336,209.5,4528.9797,10156.8203,9160.8606,0.9860,7.9,241.5,0.000,0.000,0.000,150.4,0.528,0.1637
circle,v3,20,336,200.8,8498.8361,18858.3333,17179.0882,0.9920,19.0,219.1,0.993,0.004,0.003,144.1,0.506,0.5450
circle,fixed20,20,336,199.4,17724.6201,38447.8700,35315.8772,0.9990,7.8,239.4,0.000,0.000,0.000,143.1,0.502,0.5128
fig8,v3,20,336,199.9,6854.1059,15515.7815,13963.9421,0.9820,18.7,219.0,0.993,0.004,0.003,143.5,0.503,0.6548
fig8,fixed20,20,336,199.7,5373.9191,12118.2450,10913.7658,0.9860,7.8,240.0,0.000,0.000,0.000,143.4,0.503,0.1428
hover,v3,30,336,189.9,17746.4361,40793.7129,36587.7338,0.9860,19.5,218.3,0.994,0.003,0.003,141.1,0.495,0.7742
hover,fixed20,30,336,188.1,4528.6240,10156.3379,9160.3787,0.9860,7.5,233.6,0.000,0.000,0.000,139.7,0.490,0.1637
step,v3,30,336,194.1,6011.7730,13597.6501,12239.5781,0.9860,19.6,220.9,0.994,0.003,0.003,144.1,0.506,0.6098
step,fixed20,30,336,191.2,4528.9797,10156.8203,9160.8606,0.9860,7.9,236.4,0.000,0.000,0.000,142.0,0.498,0.1637
circle,v3,30,336,189.6,8498.8361,18858.3333,17179.0882,0.9920,19.3,215.5,0.993,0.004,0.003,140.8,0.494,0.5450
circle,fixed20,30,336,190.8,17538.8969,37740.8301,34758.6270,0.9990,7.9,235.6,0.000,0.000,0.000,141.7,0.497,0.5137
fig8,v3,30,336,197.8,4684.4226,10512.4863,9475.7187,0.9880,19.8,222.7,0.993,0.004,0.003,146.9,0.516,0.1646
fig8,fixed20,30,336,194.1,5373.9191,12118.2450,10913.7658,0.9860,7.9,237.0,0.000,0.000,0.000,144.2,0.506,0.1428
hover,v3,5,337,209.2,0.0035,0.0573,0.0000,0.0330,4.0,51.0,0.994,0.003,0.003,144.1,0.506,0.0000
hover,fixed20,5,337,207.6,0.0035,0.0573,0.0000,0.0310,4.0,127.3,0.000,0.000,0.000,143.0,0.502,0.0000
step,v3,5,337,205.8,0.0153,0.2746,0.0003,0.0330,4.0,50.6,0.994,0.003,0.003,141.8,0.497,0.0000
step,fixed20,5,337,209.7,0.0157,0.2803,0.0004,0.0310,4.0,127.5,0.000,0.000,0.000,144.5,0.507,0.0000
circle,v3,5,337,207.7,16636.3260,36916.9420,33473.6725,0.9970,19.0,218.4,0.993,0.004,0.003,143.1,0.502,0.6719
circle,fixed20,5,337,212.1,9344.5851,18692.2462,17635.7809,0.9990,8.0,241.0,0.000,0.000,0.000,146.2,0.513,0.4384
fig8,v3,5,337,210.7,0.0457,0.4743,0.0484,0.0330,4.0,50.8,0.993,0.004,0.003,145.2,0.509,0.0000
fig8,fixed20,5,337,206.4,0.0481,0.4743,0.0540,0.0320,4.0,127.5,0.000,0.000,0.000,142.2,0.499,0.0000
hover,v3,10,337,204.5,0.0035,0.0573,0.0000,0.0630,4.0,50.8,0.994,0.003,0.003,144.4,0.507,0.0000
hover,fixed20,10,337,205.9,0.0035,0.0573,0.0000,0.0610,4.0,127.3,0.000,0.000,0.000,145.4,0.510,0.0000
step,v3,10,337,204.4,0.0153,0.2746,0.0003,0.0630,4.0,50.8,0.994,0.003,0.003,144.3,0.506,0.0000
step,fixed20,10,337,205.8,0.0157,0.2803,0.0004,0.0610,4.0,124.8,0.000,0.000,0.000,145.3,0.510,0.0000
circle,v3,10,337,203.9,20870.2389,47459.5608,42692.2733,0.9920,19.9,221.2,0.993,0.004,0.003,144.0,0.505,0.7246
circle,fixed20,10,337,198.2,10654.4927,22423.1418,20983.3339,0.9990,7.7,234.3,0.000,0.000,0.000,139.9,0.491,0.4425
fig8,v3,10,337,203.0,0.0459,0.4743,0.0486,0.0630,4.0,50.7,0.993,0.004,0.003,143.3,0.503,0.0000
fig8,fixed20,10,337,202.4,0.0483,0.4743,0.0541,0.0620,4.0,125.0,0.000,0.000,0.000,142.9,0.501,0.0000
hover,v3,15,337,202.5,0.0035,0.0573,0.0000,0.0730,4.0,50.4,0.994,0.003,0.003,144.2,0.506,0.0000
hover,fixed20,15,337,203.0,0.0035,0.0573,0.0000,0.0710,4.0,126.9,0.000,0.000,0.000,144.5,0.507,0.0000
step,v3,15,337,202.3,0.0153,0.2746,0.0003,0.0730,4.0,51.0,0.994,0.003,0.003,144.0,0.505,0.0000
step,fixed20,15,337,207.9,0.0157,0.2803,0.0004,0.0710,4.0,127.6,0.000,0.000,0.000,148.0,0.519,0.0000
circle,v3,15,337,202.4,16636.3260,36916.9420,33473.6725,0.9970,19.1,219.5,0.993,0.004,0.003,144.1,0.506,0.6719
circle,fixed20,15,337,199.3,9344.5851,18692.2462,17635.7809,0.9990,7.9,235.8,0.000,0.000,0.000,141.9,0.498,0.4384
fig8,v3,15,337,199.1,0.0458,0.4743,0.0484,0.0730,4.0,48.9,0.993,0.004,0.003,141.7,0.497,0.0000
fig8,fixed20,15,337,200.8,0.0481,0.4743,0.0540,0.0720,4.0,125.2,0.000,0.000,0.000,142.9,0.502,0.0000
hover,v3,20,337,196.8,0.0035,0.0573,0.0000,0.0830,4.0,50.4,0.994,0.003,0.003,141.2,0.496,0.0000
hover,fixed20,20,337,201.7,0.0035,0.0573,0.0000,0.0810,4.0,126.2,0.000,0.000,0.000,144.8,0.508,0.0000
step,v3,20,337,197.1,0.0153,0.2746,0.0003,0.0830,4.0,50.7,0.994,0.003,0.003,141.5,0.496,0.0000
step,fixed20,20,337,197.0,0.0157,0.2803,0.0004,0.0810,4.0,127.2,0.000,0.000,0.000,141.4,0.496,0.0000
circle,v3,20,337,194.4,16636.3260,36916.9420,33473.6725,0.9970,19.0,213.5,0.993,0.004,0.003,139.6,0.490,0.6719
circle,fixed20,20,337,195.2,9344.5851,18692.2462,17635.7809,0.9990,7.9,232.9,0.000,0.000,0.000,140.1,0.492,0.4384
fig8,v3,20,337,195.7,0.0469,0.4743,0.0486,0.0830,4.0,49.3,0.993,0.004,0.003,140.5,0.493,0.0000
fig8,fixed20,20,337,197.6,10749.2239,23646.9919,21362.5208,0.9930,7.7,233.2,0.000,0.000,0.000,141.8,0.498,0.4558
hover,v3,30,337,191.7,0.0035,0.0573,0.0000,0.1230,4.0,50.5,0.994,0.003,0.003,142.4,0.499,0.0000
hover,fixed20,30,337,189.9,0.0035,0.0573,0.0000,0.1210,4.0,125.9,0.000,0.000,0.000,141.0,0.495,0.0000
step,v3,30,337,192.7,0.0153,0.2746,0.0003,0.1230,4.0,50.6,0.994,0.003,0.003,143.1,0.502,0.0000
step,fixed20,30,337,194.7,0.0157,0.2803,0.0004,0.1210,4.0,127.4,0.000,0.000,0.000,144.6,0.507,0.0000
circle,v3,30,337,192.1,16636.3260,36916.9420,33473.6725,0.9970,19.0,218.0,0.993,0.004,0.003,142.7,0.501,0.6719
circle,fixed20,30,337,189.7,9344.5851,18692.2462,17635.7809,0.9990,7.4,218.1,0.000,0.000,0.000,140.9,0.494,0.4384
fig8,v3,30,337,193.5,4.0284,41.5723,0.9925,0.1560,4.8,50.6,0.993,0.004,0.003,143.8,0.504,0.0235
fig8,fixed20,30,337,192.1,34.8087,211.1278,81.9262,0.2040,4.5,125.5,0.000,0.000,0.000,142.7,0.501,0.0111
hover,v3,5,338,202.0,0.0261,0.3750,0.0021,0.0530,4.0,50.5,0.994,0.003,0.003,141.5,0.496,0.0006
hover,fixed20,5,338,207.4,0.0038,0.0548,0.0001,0.0510,4.0,126.7,0.000,0.000,0.000,145.2,0.510,0.0000
step,v3,5,338,205.1,0.0300,0.3750,0.0053,0.0530,4.1,50.5,0.994,0.003,0.003,143.6,0.504,0.0006
step,fixed20,5,338,206.6,0.0157,0.2803,0.0011,0.0510,4.0,127.0,0.000,0.000,0.000,144.7,0.508,0.0000
circle,v3,5,338,206.8,0.1480,1.5586,0.0441,0.0560,4.1,50.7,0.993,0.004,0.003,144.8,0.508,0.0037
circle,fixed20,5,338,209.9,3986.9169,8387.1237,8198.0172,0.9990,8.0,241.4,0.000,0.000,0.000,147.0,0.516,0.2827
fig8,v3,5,338,204.1,0.1326,1.5673,0.0486,0.0540,4.2,50.9,0.993,0.004,0.003,142.9,0.501,0.0025
fig8,fixed20,5,338,202.1,4377.8402,9668.9454,8761.7409,0.9800,7.5,235.7,0.000,0.000,0.000,141.5,0.497,0.1661
hover,v3,10,338,196.6,0.2634,2.3069,0.0464,0.1030,4.3,49.0,0.994,0.003,0.003,143.6,0.504,0.0040
hover,fixed20,10,338,195.3,2583.0437,6446.9208,5666.1496,0.8350,7.2,233.9,0.000,0.000,0.000,142.6,0.500,0.1326
step,v3,10,338,194.6,0.2802,2.3069,0.0820,0.1040,4.3,49.2,0.994,0.003,0.003,142.1,0.499,0.0041
step,fixed20,10,338,193.0,2583.5827,6448.0457,5667.5520,0.8350,7.1,233.4,0.000,0.000,0.000,140.9,0.494,0.1327
circle,v3,10,338,195.3,0.2940,2.2985,0.1296,0.1060,4.3,49.3,0.993,0.004,0.003,142.6,0.500,0.0062
circle,fixed20,10,338,192.8,1367.1198,3468.8004,2891.5830,0.9990,7.9,234.0,0.000,0.000,0.000,140.8,0.494,0.2394
fig8,v3,10,338,199.0,6933.9224,14922.4033,13604.5811,0.9840,19.7,220.4,0.993,0.004,0.003,145.3,0.510,0.1776
fig8,fixed20,10,338,189.5,4331.0836,9744.4981,8780.5239,0.9820,7.5,230.6,0.000,0.000,0.000,138.4,0.485,0.1632
hover,v3,15,338,180.4,0.4811,3.4944,0.1565,0.1530,4.4,48.9,0.994,0.003,0.003,137.6,0.483,0.0057
hover,fixed20,15,338,182.4,11955.3796,26771.7842,24092.1629,0.9810,7.4,225.6,0.000,0.000,0.000,139.1,0.488,0.4841
step,v3,15,338,182.8,0.4951,3.6038,0.2128,0.1530,4.4,48.9,0.994,0.003,0.003,139.4,0.489,0.0056
step,fixed20,15,338,189.0,11997.2876,26869.4794,24179.9873,0.9810,7.8,238.6,0.000,0.000,0.000,144.1,0.506,0.4841
circle,v3,15,338,187.4,0.3698,2.9697,0.4765,0.1560,4.4,50.8,0.993,0.004,0.003,142.9,0.501,0.0064
circle,fixed20,15,338,187.7,3986.9169,8387.1237,8198.0172,0.9990,7.9,238.2,0.000,0.000,0.000,143.1,0.502,0.2827
fig8,v3,15,338,185.7,6933.9224,14922.4033,13604.5811,0.9840,18.7,216.8,0.993,0.004,0.003,141.6,0.497,0.1776
fig8,fixed20,15,338,189.8,4331.0836,9744.4981,8780.5239,0.9820,7.9,238.1,0.000,0.000,0.000,144.7,0.508,0.1632
hover,v3,20,338,179.2,12859.8837,29365.2513,26377.8951,0.9810,18.6,217.5,0.994,0.003,0.003,143.0,0.502,0.6303
hover,fixed20,20,338,178.6,4181.4140,9474.5988,8524.4969,0.9820,7.7,238.7,0.000,0.000,0.000,142.5,0.500,0.1611
step,v3,20,338,178.4,4062.7508,9228.1109,8298.5407,0.9750,18.6,216.3,0.994,0.003,0.003,142.4,0.500,0.5235
step,fixed20,20,338,180.0,4181.7783,9475.0966,8524.9946,0.9820,7.3,220.9,0.000,0.000,0.000,143.6,0.504,0.1611
circle,v3,20,338,177.1,5007.1726,11217.6855,10114.5185,0.9840,18.6,217.6,0.993,0.004,0.003,141.4,0.496,0.5615
circle,fixed20,20,338,175.7,3986.9169,8387.1237,8198.0172,0.9990,7.7,234.2,0.000,0.000,0.000,140.2,0.492,0.2827
fig8,v3,20,338,173.7,6933.9224,14922.4033,13604.5811,0.9840,18.7,210.3,0.993,0.004,0.003,138.6,0.486,0.1776
fig8,fixed20,20,338,175.5,4331.0836,9744.4981,8780.5239,0.9820,7.6,234.2,0.000,0.000,0.000,140.1,0.491,0.1632
hover,v3,30,338,166.8,5813.6177,13216.9902,11883.6608,0.9810,19.4,220.7,0.994,0.003,0.003,142.4,0.500,0.5183
hover,fixed20,30,338,163.7,4181.4140,9474.5988,8524.4969,0.9820,7.7,233.8,0.000,0.000,0.000,139.8,0.490,0.1611
step,v3,30,338,163.6,16873.4238,39462.2358,35294.8985,0.9790,18.9,213.0,0.994,0.003,0.003,139.7,0.490,0.7742
step,fixed20,30,338,164.3,4181.7783,9475.0966,8524.9946,0.9820,7.0,214.2,0.000,0.000,0.000,140.3,0.492,0.1611
circle,v3,30,338,169.3,4662.8446,11238.7575,9968.2906,0.9620,19.4,221.5,0.993,0.004,0.003,144.6,0.507,0.5731
circle,fixed20,30,338,165.8,3986.9169,8387.1237,8198.0172,0.9990,7.9,235.3,0.000,0.000,0.000,141.6,0.497,0.2827
fig8,v3,30,338,164.5,6933.9224,14922.4033,13604.5811,0.9840,19.2,216.9,0.993,0.004,0.003,140.4,0.493,0.1776
fig8,fixed20,30,338,164.3,4331.0836,9744.4981,8780.5239,0.9820,7.9,232.5,0.000,0.000,0.000,140.3,0.492,0.1632
hover,v3,5,339,206.7,0.0037,0.0612,0.0000,0.0280,4.0,48.8,0.994,0.003,0.003,141.8,0.498,0.0000
hover,fixed20,5,339,207.3,0.0037,0.0612,0.0000,0.0260,4.0,124.2,0.000,0.000,0.000,142.3,0.499,0.0000
step,v3,5,339,204.9,0.0153,0.2746,0.0003,0.0280,4.0,48.7,0.994,0.003,0.003,140.6,0.493,0.0000
step,fixed20,5,339,204.6,0.0157,0.2803,0.0003,0.0260,4.0,127.3,0.000,0.000,0.000,140.4,0.493,0.0000
circle,v3,5,339,212.3,0.1401,1.5870,0.0426,0.0310,4.1,50.8,0.993,0.004,0.003,145.7,0.511,0.0023
circle,fixed20,5,339,208.7,10469.8600,20052.6360,19163.4458,0.9990,7.9,238.6,0.000,0.000,0.000,143.2,0.502,0.4895
fig8,v3,5,339,209.3,0.0446,0.4591,0.0484,0.0280,4.0,48.9,0.993,0.004,0.003,143.6,0.504,0.0000
fig8,fixed20,5,339,207.4,0.0471,0.4591,0.0540,0.0260,4.0,124.3,0.000,0.000,0.000,142.3,0.499,0.0000
hover,v3,10,339,202.1,0.0037,0.0612,0.0000,0.0530,4.0,49.1,0.994,0.003,0.003,141.5,0.497,0.0000
hover,fixed20,10,339,204.6,0.0037,0.0612,0.0000,0.0510,4.0,126.7,0.000,0.000,0.000,143.3,0.503,0.0000
step,v3,10,339,211.5,0.0153,0.2746,0.0003,0.0530,4.0,50.9,0.994,0.003,0.003,148.1,0.520,0.0000
step,fixed20,10,339,209.5,0.0157,0.2803,0.0003,0.0510,4.0,127.5,0.000,0.000,0.000,146.7,0.515,0.0000
circle,v3,10,339,202.9,0.1401,1.5870,0.0427,0.0560,4.1,50.6,0.993,0.004,0.003,142.1,0.499,0.0023
circle,fixed20,10,339,206.4,10469.8600,20052.6360,19163.4458,0.9990,7.9,239.8,0.000,0.000,0.000,144.5,0.507,0.4895
fig8,v3,10,339,207.3,0.0446,0.4591,0.0486,0.0530,4.0,50.8,0.993,0.004,0.003,145.1,0.509,0.0000
fig8,fixed20,10,339,205.7,4404.7323,9716.1023,8777.4587,0.9890,7.9,240.6,0.000,0.000,0.000,144.0,0.505,0.1548
hover,v3,15,339,204.3,0.0037,0.0612,0.0000,0.0780,4.0,50.4,0.994,0.003,0.003,146.1,0.512,0.0000
hover,fixed20,15,339,203.0,0.0037,0.0612,0.0000,0.0760,4.0,126.7,0.000,0.000,0.000,145.1,0.509,0.0000
step,v3,15,339,198.5,0.0153,0.2746,0.0003,0.0780,4.0,50.8,0.994,0.003,0.003,141.9,0.498,0.0000
step,fixed20,15,339,199.3,0.0157,0.2803,0.0003,0.0760,4.0,126.3,0.000,0.000,0.000,142.5,0.500,0.0000
circle,v3,15,339,202.5,0.1401,1.5870,0.0428,0.0810,4.1,50.5,0.993,0.004,0.003,144.8,0.508,0.0023
circle,fixed20,15,339,199.0,10469.8600,20052.6360,19163.4458,0.9990,7.9,236.8,0.000,0.000,0.000,142.3,0.499,0.4895
fig8,v3,15,339,197.3,0.0447,0.4591,0.0486,0.0780,4.0,50.8,0.993,0.004,0.003,141.1,0.495,0.0000
fig8,fixed20,15,339,201.4,0.0472,0.4591,0.0540,0.0760,4.0,127.7,0.000,0.000,0.000,144.0,0.505,0.0000
hover,v3,20,339,197.1,0.0037,0.0612,0.0000,0.1030,4.0,50.7,0.994,0.003,0.003,143.9,0.505,0.0000
hover,fixed20,20,339,194.1,0.0037,0.0612,0.0000,0.1010,4.0,127.5,0.000,0.000,0.000,141.7,0.497,0.0000
step,v3,20,339,199.1,0.0153,0.2746,0.0003,0.1030,4.0,50.5,0.994,0.003,0.003,145.3,0.510,0.0000
step,fixed20,20,339,192.6,0.0157,0.2803,0.0003,0.1010,4.0,124.7,0.000,0.000,0.000,140.6,0.493,0.0000
circle,v3,20,339,192.2,0.1402,1.5870,0.0434,0.1060,4.1,48.8,0.993,0.004,0.003,140.4,0.492,0.0023
circle,fixed20,20,339,197.9,10469.8600,20052.6360,19163.4458,0.9990,8.0,234.9,0.000,0.000,0.000,144.5,0.507,0.4895
fig8,v3,20,339,192.7,0.0481,0.4591,0.0486,0.1030,4.0,49.1,0.993,0.004,0.003,140.7,0.494,0.0000
fig8,fixed20,20,339,190.8,4133.0513,11971.4859,10041.8590,0.6580,6.2,211.1,0.000,0.000,0.000,139.3,0.489,0.0907
hover,v3,30,339,181.3,0.0037,0.0612,0.0001,0.1530,4.0,49.7,0.994,0.003,0.003,138.3,0.485,0.0000
hover,fixed20,30,339,187.1,0.0037,0.0612,0.0001,0.1510,4.0,124.2,0.000,0.000,0.000,142.7,0.501,0.0000
step,v3,30,339,187.9,0.0153,0.2746,0.0005,0.1530,4.0,48.8,0.994,0.003,0.003,143.3,0.503,0.0000
step,fixed20,30,339,186.0,0.0157,0.2803,0.0006,0.1510,4.0,128.8,0.000,0.000,0.000,141.9,0.498,0.0000
circle,v3,30,339,191.7,0.1888,1.5870,0.0693,0.1570,4.2,50.7,0.993,0.004,0.003,146.2,0.513,0.0040
