task,method,blen,seed,budget_mean,rmse,max_err,e95,timeout_rate,iter_mean,time_q50,gearL,gearM,gearH,calib_ms,budget_scale,safety_rate
fig8,v3,30,330,173.1,6984.7098,15791.9646,14583.0997,0.7540,14.6,219.8,0.993,0.004,0.003,146.0,0.512,0.4769
fig8,fixed20,30,330,167.7,1865.4126,4916.7664,4250.7486,0.7530,6.8,234.8,0.000,0.000,0.000,141.5,0.496,0.1099
hover,v3,5,331,205.4,0.0023,0.0332,0.0002,0.0330,4.0,48.6,0.994,0.003,0.003,141.5,0.497,0.0000
hover,fixed20,5,331,206.0,0.0021,0.0332,0.0000,0.0310,4.0,124.4,0.000,0.000,0.000,141.9,0.498,0.0000
step,v3,5,331,207.6,0.0131,0.2350,0.0002,0.0330,4.0,49.5,0.994,0.003,0.003,143.1,0.502,0.0000
step,fixed20,5,331,213.5,0.0140,0.2572,0.0003,0.0310,4.0,125.0,0.000,0.000,0.000,147.1,0.516,0.0000
circle,v3,5,331,204.1,15260.4558,26632.2313,25722.1311,0.9990,19.4,217.8,0.993,0.004,0.003,140.6,0.493,0.5935
circle,fixed20,5,331,204.5,4942.2099,12263.8204,10820.1644,0.9990,7.9,235.4,0.000,0.000,0.000,140.9,0.494,0.4025
fig8,v3,5,331,204.7,0.0498,0.5254,0.0486,0.0330,4.0,49.1,0.993,0.004,0.003,141.0,0.495,0.0000
fig8,fixed20,5,331,205.1,0.0498,0.5254,0.0540,0.0310,4.0,124.7,0.000,0.000,0.000,141.3,0.496,0.0000
hover,v3,10,331,202.6,0.0107,0.1602,0.0006,0.0630,4.0,50.2,0.994,0.003,0.003,143.1,0.502,0.0000
hover,fixed20,10,331,207.1,0.0028,0.0332,0.0001,0.0610,4.0,127.1,0.000,0.000,0.000,146.2,0.513,0.0000
step,v3,10,331,204.8,0.0280,0.5006,0.0004,0.0630,4.0,51.0,0.994,0.003,0.003,144.6,0.507,0.0000
step,fixed20,10,331,202.0,0.0199,0.3714,0.0004,0.0610,4.0,125.1,0.000,0.000,0.000,142.6,0.500,0.0000
circle,v3,10,331,203.3,15260.4558,26632.2313,25722.1311,0.9990,18.9,220.0,0.993,0.004,0.003,143.6,0.504,0.5935
circle,fixed20,10,331,203.6,4942.2099,12263.8204,10820.1644,0.9990,8.0,236.1,0.000,0.000,0.000,143.8,0.504,0.4025
fig8,v3,10,331,202.6,18215.4242,42211.0751,37788.4824,0.9610,18.4,217.0,0.993,0.004,0.003,143.0,0.502,0.9261
fig8,fixed20,10,331,202.4,0.0549,0.5254,0.0542,0.0650,4.1,126.9,0.000,0.000,0.000,142.9,0.501,0.0000
hover,v3,15,331,200.3,0.0460,0.6477,0.0020,0.0830,4.0,49.4,0.994,0.003,0.003,143.8,0.505,0.0013
hover,fixed20,15,331,199.2,0.0089,0.1272,0.0004,0.0810,4.0,124.6,0.000,0.000,0.000,143.0,0.502,0.0000
step,v3,15,331,199.0,0.0657,0.7877,0.0017,0.0830,4.0,48.9,0.994,0.003,0.003,142.8,0.501,0.0011
step,fixed20,15,331,197.9,0.0294,0.3828,0.0009,0.0810,4.0,124.5,0.000,0.000,0.000,142.0,0.498,0.0000
circle,v3,15,331,196.0,15260.4558,26632.2313,25722.1311,0.9990,19.5,218.6,0.993,0.004,0.003,140.7,0.494,0.5935
circle,fixed20,15,331,198.0,4942.2099,12263.8204,10820.1644,0.9990,7.9,236.5,0.000,0.000,0.000,142.1,0.499,0.4025
fig8,v3,15,331,201.9,0.5694,5.0496,0.0699,0.0860,4.3,49.2,0.993,0.004,0.003,144.9,0.509,0.0049
fig8,fixed20,15,331,196.7,3993.8910,9124.7187,8194.5787,0.9610,7.6,236.3,0.000,0.000,0.000,141.2,0.495,0.1571
hover,v3,20,331,200.1,0.2242,2.1295,0.0038,0.1030,4.2,49.2,0.994,0.003,0.003,146.1,0.513,0.0031
hover,fixed20,20,331,194.5,8974.6946,19943.7168,18043.8224,0.9600,7.7,236.2,0.000,0.000,0.000,142.0,0.498,0.3978
step,v3,20,331,194.9,0.2180,2.1499,0.0038,0.1040,4.2,49.0,0.994,0.003,0.003,142.3,0.499,0.0031
step,fixed20,20,331,194.6,14115.0762,28578.4591,26789.0251,0.9580,7.7,236.5,0.000,0.000,0.000,142.1,0.498,0.2711
circle,v3,20,331,196.0,15260.4558,26632.2313,25722.1311,0.9990,19.8,222.2,0.993,0.004,0.003,143.1,0.502,0.5935
circle,fixed20,20,331,201.4,4942.2099,12263.8204,10820.1644,0.9990,8.0,240.7,0.000,0.000,0.000,147.1,0.516,0.4025
fig8,v3,20,331,195.2,1.4963,11.4715,1.3109,0.1110,4.7,49.4,0.993,0.004,0.003,142.5,0.500,0.0148
fig8,fixed20,20,331,192.6,3993.8910,9124.7187,8194.5787,0.9610,7.6,234.6,0.000,0.000,0.000,140.6,0.493,0.1571
hover,v3,30,331,187.7,8376.6811,14011.2511,12810.2821,0.9620,18.9,222.4,0.994,0.003,0.003,143.2,0.502,0.2913
hover,fixed20,30,331,184.1,4042.1801,9172.2409,8244.8478,0.9610,7.6,234.5,0.000,0.000,0.000,140.4,0.493,0.1504
step,v3,30,331,192.4,20673.8120,43934.7803,40598.6979,0.9620,19.1,223.9,0.994,0.003,0.003,146.7,0.515,0.2992
step,fixed20,30,331,187.4,3809.2784,8631.9258,7760.3060,0.9610,7.8,235.6,0.000,0.000,0.000,143.0,0.502,0.1506
circle,v3,30,331,191.5,1.5710,11.9274,1.2137,0.1620,4.8,49.3,0.993,0.004,0.003,146.1,0.513,0.0118
circle,fixed20,30,331,187.2,4942.2099,12263.8204,10820.1644,0.9990,8.0,236.0,0.000,0.000,0.000,142.8,0.501,0.4025
fig8,v3,30,331,186.2,17185.1262,40214.3881,35910.1890,0.9610,18.8,221.1,0.993,0.004,0.003,142.0,0.498,0.8534
fig8,fixed20,30,331,189.7,4123.7177,9396.9495,8444.6920,0.9620,7.8,241.1,0.000,0.000,0.000,144.7,0.508,0.1587
hover,v3,5,332,217.8,0.0030,0.0492,0.0000,0.0180,4.0,51.5,0.994,0.003,0.003,148.3,0.520,0.0000
hover,fixed20,5,332,213.3,0.0031,0.0492,0.0000,0.0160,4.0,127.5,0.000,0.000,0.000,145.2,0.509,0.0000
